Päivä;Aika;TK01 TE10 TULOILMA;TK01 TE10 ASETUSARVO;TK01 TE30 POISTOILMA;TK01 TE02 TULO LTON JÄLKEEN;TK01 ELS01 SÄHKÖPATTERI;TE00 ULKOLÄMPÖTILA;KIK01 TE10 MENOVESI;
4.2.2022;7:30:00;19,65913;19,939596;20,061356;11,5973;20,807076;-10,064072;41,05566;
4.2.2022;7:35:00;19,999775;19,903717;20,096283;11,558755;19,770794;;40,831436;
4.2.2022;7:40:00;19,462452;19,879284;20,120716;11,094804;21,666145;-10,061588;39,721394;
4.2.2022;7:45:00;19,428722;19,802193;20,197807;10,627951;22,711777;;36,69385;
