Päivä;Aika;KK01 TE20 HUONELÄMPÖTILA;KK03 TE20 HUONELÄMPÖTILA;TK5A.05 TE/QE20.01 HUONELÄMPÖTILA;TK5A.05 TE/QE20.02 HUONELÄMPÖTILA;ULKOLÄMPÖTILA;TK5A.05 PE10 TULOILMA;TK5A.05 PE30 POISTOILMA;TK5A.05 TE/QE30 POISTOILMA;TK5A.05 TE/QE30 POISTOILMA;TK5A.05 TE10 TULOILMA;TK5A.06 PE10 TULOILMA;TK5A.06 PE30 POISTOILMA;TK5A.06 TE10 TULOILMA;TK5A.06 TE30 POISTOILMA;TK5A.05 PDE20 PAINE-ERO VAIPAN YLI;TK5A.06 PDE20 PAINE-ERO VAIPAN YLI;TK5A.05 TE/QE20.01 CO2-PITOISUUS;TK5A.05 TE/QE20.02 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;
14.10.2022;12:55:00;20,436941;20,170816;22,288357;21,470867;9,258865;111,952446;235,70909;21,582232;21,582232;19,874023;106,140854;200,9555;19,356884;20,293373;3,0779667;4,1399364;411,88306;752,0849;752,0849;549,6416;549,6416;
14.10.2022;13:00:00;20,515484;20,133442;22,214252;21,472368;9,168449;111,95295;237,76793;21,582335;21,582335;19,843672;107,103714;199,03044;19,337936;20,28271;3,0777702;4,1388435;413,44315;762,7048;762,7048;541,1036;541,1036;
14.10.2022;13:05:00;20,519806;20,02155;22,211983;21,428328;9,164616;103,85511;208,19421;21,51695;21,51695;19,823551;104,99463;196,97487;19,33132;20,276388;-0,92463684;1,1437225;408,15845;684,89044;684,89044;533,9189;533,9189;
14.10.2022;13:10:00;20,42459;20,093557;22,199726;21,40413;9,24646;102,888336;218,21046;21,51679;21,51679;19,82899;107,10211;195,05023;19,336014;20,272074;2,0756302;5,1399803;404,80035;728,1385;728,48004;534,6116;534,6116;
