Päivä;Aika;KK01 TE20 HUONELÄMPÖTILA;KK03 TE20 HUONELÄMPÖTILA;TK5A.05 TE/QE20.01 HUONELÄMPÖTILA;TK5A.05 TE/QE20.02 HUONELÄMPÖTILA;ULKOLÄMPÖTILA;TK5A.05 PE10 TULOILMA;TK5A.05 PE30 POISTOILMA;TK5A.05 TE/QE30 POISTOILMA;TK5A.05 TE/QE30 POISTOILMA;TK5A.05 TE10 TULOILMA;TK5A.06 PE10 TULOILMA;TK5A.06 PE30 POISTOILMA;TK5A.06 TE10 TULOILMA;TK5A.06 TE30 POISTOILMA;TK5A.05 PDE20 PAINE-ERO VAIPAN YLI;TK5A.06 PDE20 PAINE-ERO VAIPAN YLI;TK5A.05 TE/QE20.01 CO2-PITOISUUS;TK5A.05 TE/QE20.02 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;
14.10.2022;15:40:00;20,827248;23,37536;22,17315;21,032;9,337764;41,95644;83,733246;21,150959;21,150959;19,928158;108,61128;196,01546;19,37004;20,186386;1,0748024;7,1328545;363,82272;473,2193;473,2193;448,54712;448,54712;
14.10.2022;15:45:00;20,852175;23,408512;22,178623;21,042604;9,341427;41,95789;83,73619;21,164263;21,164263;19,969248;103,07231;203,95566;19,39455;20,181047;1,1052284;9,138542;363,0624;477,7196;477,7196;447,6418;447,6418;
14.10.2022;15:50:00;20,875513;23,451124;22,200022;21,05;9,345488;41,95838;84,69743;21,072893;21,072893;19,986185;103,07567;202,99623;19,395227;20,17688;1,074789;7,133583;365,2583;477,74347;477,74347;443,75;443,75;
