Päivä;Aika;TK5A.01 TE/QE20.01 HUONELÄMPÖTILA;TK5A.01 TE/QE20.02 HUONELÄMPÖTILA;TK5A.01 TE/QE20.03 HUONELÄMPÖTILA;TK5A.01 TE/QE20.04 HUONELÄMPÖTILA;TK5A.01 TE/QE20.05 HUONELÄMPÖTILA;TK5A.01 TE/QE20.06 HUONELÄMPÖTILA;TK5A.02 TE/QE20.01 HUONELÄMPÖTILA;TK5A.02 TE/QE20.02 HUONELÄMPÖTILA;TK5A.02 TE/QE20.03 HUONELÄMPÖTILA;TK5A.03 TE/QE20.01 HUONELÄMPÖTILA;TK5A.03 TE/QE20.02 HUONELÄMPÖTILA;TK5A.03 TE/QE20.03 HUONELÄMPÖTILA;TK5A.03 TE/QE20.04 HUONELÄMPÖTILA;TK5A.03 TE/QE20.05 HUONELÄMPÖTILA;TK5A.03 TE/QE20.06 HUONELÄMPÖTILA;TK5A.03 TE/QE20.07 HUONELÄMPÖTILA;ULKOLÄMPÖTILA;TK5A.01 FTI70 ILMAMÄÄRÄ TF01;TK5A.01 FTI71 ILMAMÄÄRÄ PF01;TK5A.01 PE10 TULOILMA;TK5A.01 PE30 POISTOILMA;TK5A.01 TE/QE30 POISTOILMA;TK5A.01 TE/QE30 POISTOILMA;TK5A.01 TE10 TULOILMA;TK5A.01 TE31 JÄTEILMA;TK5A.02 PE10 TULOILMA;TK5A.02 PE30 POISTOILMA;TK5A.02 TE/QE30 POISTOILMA;TK5A.02 TE/QE30 POISTOILMA;TK5A.02 TE10 TULOILMA;TK5A.03 PE10 TULOILMA;TK5A.03 PE30 POISTOILMA;TK5A.03 TE/QE30 POISTOILMA;TK5A.03 TE/QE30 POISTOILMA;TK5A.03 TE10 TULOILMA;TK5A.03 TE31 JÄTEILMA;TK5A.04 PE10 TULOILMA;TK5A.04 PE30 POISTOILMA;TK5A.04 TE/QE30 POISTOILMA;TK5A.04 TE10 TULOILMA;TK5A.01 PDE20 PAINE-ERO VAIPAN YLI;TK5A.02 PDE20 PAINE-ERO VAIPAN YLI;TK5A.03 PDE20 PAINE-ERO VAIPAN YLI;TK5A.04 PDE20 PAINE-ERO VAIPAN YLI;TK5A.01 TE/QE20.01 CO2-PITOISUUS;TK5A.01 TE/QE20.02 CO2-PITOISUUS;TK5A.01 TE/QE20.03 CO2-PITOISUUS;TK5A.01 TE/QE20.04 CO2-PITOISUUS;TK5A.01 TE/QE20.05 CO2-PITOISUUS;TK5A.01 TE/QE20.06 CO2-PITOISUUS;TK5A.01 TE/QE30 CO2-PITOISUUS;TK5A.01 TE/QE30 CO2-PITOISUUS;TK5A.01 TE/QE30 CO2-PITOISUUS;TK5A.02 TE/QE20.01 CO2-PITOISUUS;TK5A.02 TE/QE20.02 CO2-PITOISUUS;TK5A.02 TE/QE20.03 CO2-PITOISUUS;TK5A.02 TE/QE30 CO2-PITOISUUS;TK5A.02 TE/QE30 CO2-PITOISUUS;TK5A.02 TE/QE30 CO2-PITOISUUS;TK5A.03 TE/QE20.01 CO2-PITOISUUS;TK5A.03 TE/QE20.02 CO2-PITOISUUS;TK5A.03 TE/QE20.03 CO2-PITOISUUS;TK5A.03 TE/QE20.04 CO2-PITOISUUS;TK5A.03 TE/QE20.05 CO2-PITOISUUS;TK5A.03 TE/QE20.06 CO2-PITOISUUS;TK5A.03 TE/QE20.07 CO2-PITOISUUS;TK5A.03 TE/QE30 CO2-PITOISUUS;TK5A.03 TE/QE30 CO2-PITOISUUS;TK5A.03 TE/QE30 CO2-PITOISUUS;TK5A.04 TE/QE30 CO2-PITOISUUS;TK5A.04 TE/QE30 CO2-PITOISUUS;
14.10.2022;11:40:00;21,0107;21,45775;21,049717;25,927649;22,102165;19,763527;20,8906;21,558395;20,857752;21,160843;21,25984;22,286804;21,909094;20,656855;22,49189;21,51498;9,062805;2,2596397;2,1309586;136,88646;176,82268;20,719395;20,719395;18,87086;10,849576;105,43901;81,193886;21,48888;21,48888;18,490717;80,31426;96,885994;21,317719;21,317719;18,474524;10,916698;;56,010334;21,567093;18,639397;-6,8731594;6,0608387;-0,9360466;6,0582695;363,2967;417,10843;472,36093;673,90784;629,8753;418,097;673,90784;398,09808;398,09808;523,9137;580,405;633,9;633,9;390,04437;390,04437;359,1937;581,64496;372,54514;366,8314;404,86426;651,4836;442,27972;651,4836;427,91022;427,91022;443,47043;443,47043;
14.10.2022;11:45:00;20,992657;21,39045;21,0178;25,879204;22,141228;19,770395;20,874777;21,486904;20,883198;21,169662;21,21548;22,286814;21,966276;20,688404;22,425003;21,528234;9,078476;2,2309842;2,0986319;131,93796;172,93813;20,778023;20,778023;18,886171;10,883871;107,87165;82,15563;21,487038;21,487038;18,4991;75,25767;91,38517;21,358551;21,358551;18,551327;10,978329;34,233456;59,03744;21,568623;18,696585;-3,8728523;4,069927;0,07156563;2,0594444;363,49646;411,64398;477,96292;655,3346;639,3183;415,30637;655,3346;398,7682;398,7682;525,134;530,9606;670,57697;657,3814;391,73114;391,73114;358,82745;553,94855;377,0516;365,1348;406,5362;629,06165;437,2858;629,06165;422,10736;422,10736;442,93842;442,93842;
14.10.2022;11:50:00;20,972464;21,361858;21,023758;25,917711;22,074276;19,771046;20,90603;21,382309;20,945616;21,144493;21,192886;22,31227;21,979342;20,658577;22,402977;21,553322;9,092639;2,2035882;2,0848932;130,85521;168,96988;20,765541;20,765541;18,884523;10,875107;117,5055;96,14528;21,524277;21,524277;18,430588;68,23982;82,44908;21,3368;21,3368;18,60575;11,005591;35,324158;57,11065;21,554264;18,778662;-3,8731594;3,4932804;1,0613365;2,0596905;363,03345;399,20538;473,6233;651,31586;649,2764;411,89294;651,31586;405,46902;405,46902;525,42883;492,9725;696,2116;696,2116;389,74033;389,74033;358,77182;534,95844;380,61255;365,10632;407,06924;602,45874;436,54565;602,45874;427,67834;427,67834;438,82565;438,82565;
