Päivä;Aika;KK01 TE20 HUONELÄMPÖTILA;KK03 TE20 HUONELÄMPÖTILA;TK5A.05 TE/QE20.01 HUONELÄMPÖTILA;TK5A.05 TE/QE20.02 HUONELÄMPÖTILA;ULKOLÄMPÖTILA;TK5A.05 PE10 TULOILMA;TK5A.05 PE30 POISTOILMA;TK5A.05 TE/QE30 POISTOILMA;TK5A.05 TE/QE30 POISTOILMA;TK5A.05 TE10 TULOILMA;TK5A.06 PE10 TULOILMA;TK5A.06 PE30 POISTOILMA;TK5A.06 TE10 TULOILMA;TK5A.06 TE30 POISTOILMA;TK5A.05 PDE20 PAINE-ERO VAIPAN YLI;TK5A.06 PDE20 PAINE-ERO VAIPAN YLI;TK5A.05 TE/QE20.01 CO2-PITOISUUS;TK5A.05 TE/QE20.02 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;
14.10.2022;19:45:00;21,820625;22,862404;22,014427;21,063185;8,996464;43,867397;96,828445;21,051178;21,051178;20,045038;29,925854;57,18382;19,615007;20,083488;3,0952072;6,128868;363,24088;530,6409;530,6409;476,23038;476,23038;
14.10.2022;19:50:00;21,82753;22,864656;22,015339;21,063726;8,995811;46,911724;100,756325;21,06573;21,06573;20,109953;29,926317;56,220253;19,747776;20,085443;2,0759602;7,133087;363,25125;530,62976;530,62976;478,39752;478,39752;
14.10.2022;19:55:00;21,83634;22,903336;22,06374;21,027596;8,990883;49,73708;102,287926;21,06485;21,06485;20,17084;28,958998;57,177658;19,93111;20,140318;1,0733395;6,128351;364,9611;530,65625;530,65625;466,23264;466,23264;
14.10.2022;20:00:00;21,843206;22,921463;22,04911;21,011078;8,993546;47,872837;96,786156;21,06389;21,06389;20,18458;29,924932;54,157234;19,855274;20,217594;2,076006;6,1286163;363,24875;516,7848;519,6656;456,4459;456,4459;
