Päivä;Aika;KK01 TE20 HUONELÄMPÖTILA;KK03 TE20 HUONELÄMPÖTILA;TK5A.05 TE/QE20.01 HUONELÄMPÖTILA;TK5A.05 TE/QE20.02 HUONELÄMPÖTILA;ULKOLÄMPÖTILA;TK5A.05 PE10 TULOILMA;TK5A.05 PE30 POISTOILMA;TK5A.05 TE/QE30 POISTOILMA;TK5A.05 TE/QE30 POISTOILMA;TK5A.05 TE10 TULOILMA;TK5A.06 PE10 TULOILMA;TK5A.06 PE30 POISTOILMA;TK5A.06 TE10 TULOILMA;TK5A.06 TE30 POISTOILMA;TK5A.05 PDE20 PAINE-ERO VAIPAN YLI;TK5A.06 PDE20 PAINE-ERO VAIPAN YLI;TK5A.05 TE/QE20.01 CO2-PITOISUUS;TK5A.05 TE/QE20.02 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;
14.10.2022;16:10:00;21,064;23,48803;22,2264;21,035187;9,1723175;41,96036;83,73253;21,115599;21,115599;19,991436;108,06055;200,95676;19,48581;20,165344;1,0750103;7,133919;364,01636;474,09534;474,09534;442,75766;442,75766;
14.10.2022;16:15:00;21,106405;23,491144;22,125168;21,004114;9,179806;41,95967;83,74152;21,10401;21,10401;19,977753;101,87206;198,0742;19,457603;20,16808;2,07592;8,138943;363,2534;469,64078;469,64078;443,08444;443,08444;
14.10.2022;16:20:00;21,145151;23,437803;22,122362;21,011469;9,173157;41,961052;84,697464;21,114492;21,114492;19,963745;106,935104;198,09868;19,415089;20,16132;0,071676254;7,1337547;363,03986;468,11957;468,11957;436,41086;436,41086;
