Päivä;Aika;KK01 TE20 HUONELÄMPÖTILA;KK03 TE20 HUONELÄMPÖTILA;TK5A.05 TE/QE20.01 HUONELÄMPÖTILA;TK5A.05 TE/QE20.02 HUONELÄMPÖTILA;ULKOLÄMPÖTILA;TK5A.05 PE10 TULOILMA;TK5A.05 PE30 POISTOILMA;TK5A.05 TE/QE30 POISTOILMA;TK5A.05 TE/QE30 POISTOILMA;TK5A.05 TE10 TULOILMA;TK5A.06 PE10 TULOILMA;TK5A.06 PE30 POISTOILMA;TK5A.06 TE10 TULOILMA;TK5A.06 TE30 POISTOILMA;TK5A.05 PDE20 PAINE-ERO VAIPAN YLI;TK5A.06 PDE20 PAINE-ERO VAIPAN YLI;TK5A.05 TE/QE20.01 CO2-PITOISUUS;TK5A.05 TE/QE20.02 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;
14.10.2022;0:20:00;22,250795;22,184347;21,925552;20,727633;8,509369;42,91986;83,7375;20,798115;20,798115;18,894745;29,923248;56,215797;19,943213;20,105875;0,07190704;5,1395187;363,73273;476,7324;476,72476;431,59033;431,59033;
14.10.2022;0:25:00;22,25678;22,178633;21,942192;20,77194;8,499966;41,955055;84,69242;20,803034;20,803034;18,890541;29,916122;56,24848;19,790806;20,100197;0,071790695;5,1385517;363,20078;476,8719;476,8719;432,67075;432,67075;
14.10.2022;0:30:00;22,262379;22,1664;21,962738;20,728159;8,548077;41,956505;85,6692;20,75199;20,75199;18,884998;29,924503;56,21785;19,646038;20,099195;0,07147026;4,1390114;364,5811;472,69727;470,33023;432,84665;432,84665;
