Päivä;Aika;KK01 TE20 HUONELÄMPÖTILA;KK03 TE20 HUONELÄMPÖTILA;TK5A.05 TE/QE20.01 HUONELÄMPÖTILA;TK5A.05 TE/QE20.02 HUONELÄMPÖTILA;ULKOLÄMPÖTILA;TK5A.05 PE10 TULOILMA;TK5A.05 PE30 POISTOILMA;TK5A.05 TE/QE30 POISTOILMA;TK5A.05 TE/QE30 POISTOILMA;TK5A.05 TE10 TULOILMA;TK5A.06 PE10 TULOILMA;TK5A.06 PE30 POISTOILMA;TK5A.06 TE10 TULOILMA;TK5A.06 TE30 POISTOILMA;TK5A.05 PDE20 PAINE-ERO VAIPAN YLI;TK5A.06 PDE20 PAINE-ERO VAIPAN YLI;TK5A.05 TE/QE20.01 CO2-PITOISUUS;TK5A.05 TE/QE20.02 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;
14.10.2022;7:50:00;22,219366;22,13671;21,946995;20,726414;8,611977;41,95927;83,73249;20,850155;20,850155;19,11734;106,139565;202,03426;19,252428;20,161743;0,07210159;4,139166;370,04977;469,7958;469,66214;436,07025;436,07025;
14.10.2022;7:55:00;22,201212;22,137486;22,01213;20,700794;8,608974;41,95914;83,73266;20,86506;20,86506;19,05445;106,13838;196,97737;19,26471;20,163088;0,071489334;3,134224;393,30313;473,21573;472,7295;434,1534;434,1534;
14.10.2022;8:00:00;22,197218;22,141115;22,002728;20,692085;8,609314;44,978096;81,68305;20,843452;20,843452;19,037317;104,99206;200,95715;19,28509;20,168758;-0,9250736;0,13829803;378,72076;469,37033;471,1231;435,74933;435,74933;
