Päivä;Aika;TK5A.01 TE/QE20.01 HUONELÄMPÖTILA;TK5A.01 TE/QE20.02 HUONELÄMPÖTILA;TK5A.01 TE/QE20.03 HUONELÄMPÖTILA;TK5A.01 TE/QE20.04 HUONELÄMPÖTILA;TK5A.01 TE/QE20.05 HUONELÄMPÖTILA;TK5A.01 TE/QE20.06 HUONELÄMPÖTILA;TK5A.02 TE/QE20.01 HUONELÄMPÖTILA;TK5A.02 TE/QE20.02 HUONELÄMPÖTILA;TK5A.02 TE/QE20.03 HUONELÄMPÖTILA;TK5A.03 TE/QE20.01 HUONELÄMPÖTILA;TK5A.03 TE/QE20.02 HUONELÄMPÖTILA;TK5A.03 TE/QE20.03 HUONELÄMPÖTILA;TK5A.03 TE/QE20.04 HUONELÄMPÖTILA;TK5A.03 TE/QE20.05 HUONELÄMPÖTILA;TK5A.03 TE/QE20.06 HUONELÄMPÖTILA;TK5A.03 TE/QE20.07 HUONELÄMPÖTILA;ULKOLÄMPÖTILA;TK5A.01 FTI70 ILMAMÄÄRÄ TF01;TK5A.01 FTI71 ILMAMÄÄRÄ PF01;TK5A.01 PE10 TULOILMA;TK5A.01 PE30 POISTOILMA;TK5A.01 TE/QE30 POISTOILMA;TK5A.01 TE/QE30 POISTOILMA;TK5A.01 TE10 TULOILMA;TK5A.01 TE31 JÄTEILMA;TK5A.02 PE10 TULOILMA;TK5A.02 PE30 POISTOILMA;TK5A.02 TE/QE30 POISTOILMA;TK5A.02 TE/QE30 POISTOILMA;TK5A.02 TE10 TULOILMA;TK5A.03 PE10 TULOILMA;TK5A.03 PE30 POISTOILMA;TK5A.03 TE/QE30 POISTOILMA;TK5A.03 TE/QE30 POISTOILMA;TK5A.03 TE10 TULOILMA;TK5A.03 TE31 JÄTEILMA;TK5A.04 PE10 TULOILMA;TK5A.04 PE30 POISTOILMA;TK5A.04 TE/QE30 POISTOILMA;TK5A.04 TE10 TULOILMA;TK5A.01 PDE20 PAINE-ERO VAIPAN YLI;TK5A.02 PDE20 PAINE-ERO VAIPAN YLI;TK5A.03 PDE20 PAINE-ERO VAIPAN YLI;TK5A.04 PDE20 PAINE-ERO VAIPAN YLI;TK5A.01 TE/QE20.01 CO2-PITOISUUS;TK5A.01 TE/QE20.02 CO2-PITOISUUS;TK5A.01 TE/QE20.03 CO2-PITOISUUS;TK5A.01 TE/QE20.04 CO2-PITOISUUS;TK5A.01 TE/QE20.05 CO2-PITOISUUS;TK5A.01 TE/QE20.06 CO2-PITOISUUS;TK5A.01 TE/QE30 CO2-PITOISUUS;TK5A.01 TE/QE30 CO2-PITOISUUS;TK5A.01 TE/QE30 CO2-PITOISUUS;TK5A.02 TE/QE20.01 CO2-PITOISUUS;TK5A.02 TE/QE20.02 CO2-PITOISUUS;TK5A.02 TE/QE20.03 CO2-PITOISUUS;TK5A.02 TE/QE30 CO2-PITOISUUS;TK5A.02 TE/QE30 CO2-PITOISUUS;TK5A.02 TE/QE30 CO2-PITOISUUS;TK5A.03 TE/QE20.01 CO2-PITOISUUS;TK5A.03 TE/QE20.02 CO2-PITOISUUS;TK5A.03 TE/QE20.03 CO2-PITOISUUS;TK5A.03 TE/QE20.04 CO2-PITOISUUS;TK5A.03 TE/QE20.05 CO2-PITOISUUS;TK5A.03 TE/QE20.06 CO2-PITOISUUS;TK5A.03 TE/QE20.07 CO2-PITOISUUS;TK5A.03 TE/QE30 CO2-PITOISUUS;TK5A.03 TE/QE30 CO2-PITOISUUS;TK5A.03 TE/QE30 CO2-PITOISUUS;TK5A.04 TE/QE30 CO2-PITOISUUS;TK5A.04 TE/QE30 CO2-PITOISUUS;
13.10.2022;23:50:00;20,59842;21,25027;20,993675;25,873606;21,220686;20,163837;21,10722;20,728886;20,727955;21,474327;20,446865;21,701365;21,780811;20,868986;22,073496;21,888088;8,485215;1,7059329;1,6338413;76,83075;108,935776;20,632341;20,632341;18,771841;10,524618;67,39388;45,19097;21,211369;21,211369;18,349192;35,206966;43,49177;21,124783;21,124783;18,470528;10,8697815;34,305347;57,108574;21,506205;18,849443;0,12699127;4,0693264;0,07198715;3,0630798;363,3083;381,51404;470,16467;495,44534;412,63498;420,76663;495,44534;403,1508;403,1508;516,256;417,48834;489,731;516,256;384,15118;384,15118;358,89432;455,5808;363,32;366,73685;411,3882;471,68613;434,80292;471,68613;426,3172;426,3172;442,9088;442,9088;
13.10.2022;23:55:00;20,668228;21,250208;20,969503;25,896114;21,217396;20,211199;21,105564;20,728832;20,697243;21,573372;20,453112;21,701319;21,778975;20,87077;22,046783;21,92338;8,500996;1,6963084;1,6009126;77,78963;103,99321;20,625917;20,625917;18,791494;10,535565;68,3576;45,19005;21,22564;21,22564;18,355494;37,265755;43,492794;21,189926;21,189926;18,480429;10,851031;35,326397;56,00945;21,513287;18,8563;-1,8844261;4,0695763;0,07070351;2,0593987;363,95645;383,01605;463,65518;495,96515;416,5397;420,97678;495,96515;398,3746;398,3746;521,65814;412,39725;492,9029;521,65814;383,54407;383,54407;360,38397;451,0681;363,63953;365,2017;409,8654;476,2648;434,81412;476,2648;433,60876;433,60876;448,09927;448,09927;
14.10.2022;0:00:00;20,619644;21,216988;20,991037;25,882368;21,212357;20,160349;21,181402;20,76925;20,716747;21,461689;20,461266;21,646345;21,77908;20,87336;22,073505;21,890715;8,516234;1,7141229;1,6277976;79,842224;105,92577;20,603802;20,603802;18,789423;10,472789;69,4526;45,196205;21,21186;21,21186;18,42111;36,16784;43,49688;21,139946;21,139946;18,48044;10,8394785;35,327286;56,007725;21,52921;18,86262;-0,8796768;2,057911;0,07063675;1,0557556;363,06268;385,2735;462,57983;497,79324;411,73773;419,28912;497,79324;399,1351;399,1351;525,4511;414,23807;493,2874;525,4511;378,35767;378,35767;358,8591;457,6679;362,38913;365,08817;406,00772;472,20416;440,95926;472,20416;433,64954;433,64954;448,0423;448,0423;
