Päivä;Aika;KK01 TE20 HUONELÄMPÖTILA;KK03 TE20 HUONELÄMPÖTILA;TK5A.05 TE/QE20.01 HUONELÄMPÖTILA;TK5A.05 TE/QE20.02 HUONELÄMPÖTILA;ULKOLÄMPÖTILA;TK5A.05 PE10 TULOILMA;TK5A.05 PE30 POISTOILMA;TK5A.05 TE/QE30 POISTOILMA;TK5A.05 TE/QE30 POISTOILMA;TK5A.05 TE10 TULOILMA;TK5A.06 PE10 TULOILMA;TK5A.06 PE30 POISTOILMA;TK5A.06 TE10 TULOILMA;TK5A.06 TE30 POISTOILMA;TK5A.05 PDE20 PAINE-ERO VAIPAN YLI;TK5A.06 PDE20 PAINE-ERO VAIPAN YLI;TK5A.05 TE/QE20.01 CO2-PITOISUUS;TK5A.05 TE/QE20.02 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;
14.10.2022;17:40:00;21,519539;22,9582;22,102962;20,91645;9,179115;41,964348;84,697105;21,038065;21,038065;20,003332;107,10513;198,07146;19,356464;20,16422;2,0758457;7,1333656;364,39978;470,68793;470,68793;439,66428;439,66428;
14.10.2022;17:45:00;21,536148;22,922039;22,085445;20,916597;9,179367;41,960396;83,735825;21,0639;21,0639;20,013357;101,97638;198,07121;19,384102;20,157795;2,0757504;8,137596;363,06055;469,15997;469,15997;433,4739;433,4739;
14.10.2022;17:50:00;21,55278;22,886055;22,13018;20,922321;9,181473;41,965168;83,73411;21,028343;21,028343;20,011042;106,13792;199,48073;19,396101;20,152565;1,0743675;7,1330338;363,275;472,21365;472,21365;436,9461;436,9461;
