Päivä;Aika;TK5A.01 TE/QE20.01 HUONELÄMPÖTILA;TK5A.01 TE/QE20.02 HUONELÄMPÖTILA;TK5A.01 TE/QE20.03 HUONELÄMPÖTILA;TK5A.01 TE/QE20.04 HUONELÄMPÖTILA;TK5A.01 TE/QE20.05 HUONELÄMPÖTILA;TK5A.01 TE/QE20.06 HUONELÄMPÖTILA;TK5A.02 TE/QE20.01 HUONELÄMPÖTILA;TK5A.02 TE/QE20.02 HUONELÄMPÖTILA;TK5A.02 TE/QE20.03 HUONELÄMPÖTILA;TK5A.03 TE/QE20.01 HUONELÄMPÖTILA;TK5A.03 TE/QE20.02 HUONELÄMPÖTILA;TK5A.03 TE/QE20.03 HUONELÄMPÖTILA;TK5A.03 TE/QE20.04 HUONELÄMPÖTILA;TK5A.03 TE/QE20.05 HUONELÄMPÖTILA;TK5A.03 TE/QE20.06 HUONELÄMPÖTILA;TK5A.03 TE/QE20.07 HUONELÄMPÖTILA;ULKOLÄMPÖTILA;TK5A.01 FTI70 ILMAMÄÄRÄ TF01;TK5A.01 FTI71 ILMAMÄÄRÄ PF01;TK5A.01 PE10 TULOILMA;TK5A.01 PE30 POISTOILMA;TK5A.01 TE/QE30 POISTOILMA;TK5A.01 TE/QE30 POISTOILMA;TK5A.01 TE10 TULOILMA;TK5A.01 TE31 JÄTEILMA;TK5A.02 PE10 TULOILMA;TK5A.02 PE30 POISTOILMA;TK5A.02 TE/QE30 POISTOILMA;TK5A.02 TE/QE30 POISTOILMA;TK5A.02 TE10 TULOILMA;TK5A.03 PE10 TULOILMA;TK5A.03 PE30 POISTOILMA;TK5A.03 TE/QE30 POISTOILMA;TK5A.03 TE/QE30 POISTOILMA;TK5A.03 TE10 TULOILMA;TK5A.03 TE31 JÄTEILMA;TK5A.04 PE10 TULOILMA;TK5A.04 PE30 POISTOILMA;TK5A.04 TE/QE30 POISTOILMA;TK5A.04 TE10 TULOILMA;TK5A.01 PDE20 PAINE-ERO VAIPAN YLI;TK5A.02 PDE20 PAINE-ERO VAIPAN YLI;TK5A.03 PDE20 PAINE-ERO VAIPAN YLI;TK5A.04 PDE20 PAINE-ERO VAIPAN YLI;TK5A.01 TE/QE20.01 CO2-PITOISUUS;TK5A.01 TE/QE20.02 CO2-PITOISUUS;TK5A.01 TE/QE20.03 CO2-PITOISUUS;TK5A.01 TE/QE20.04 CO2-PITOISUUS;TK5A.01 TE/QE20.05 CO2-PITOISUUS;TK5A.01 TE/QE20.06 CO2-PITOISUUS;TK5A.01 TE/QE30 CO2-PITOISUUS;TK5A.01 TE/QE30 CO2-PITOISUUS;TK5A.01 TE/QE30 CO2-PITOISUUS;TK5A.02 TE/QE20.01 CO2-PITOISUUS;TK5A.02 TE/QE20.02 CO2-PITOISUUS;TK5A.02 TE/QE20.03 CO2-PITOISUUS;TK5A.02 TE/QE30 CO2-PITOISUUS;TK5A.02 TE/QE30 CO2-PITOISUUS;TK5A.02 TE/QE30 CO2-PITOISUUS;TK5A.03 TE/QE20.01 CO2-PITOISUUS;TK5A.03 TE/QE20.02 CO2-PITOISUUS;TK5A.03 TE/QE20.03 CO2-PITOISUUS;TK5A.03 TE/QE20.04 CO2-PITOISUUS;TK5A.03 TE/QE20.05 CO2-PITOISUUS;TK5A.03 TE/QE20.06 CO2-PITOISUUS;TK5A.03 TE/QE20.07 CO2-PITOISUUS;TK5A.03 TE/QE30 CO2-PITOISUUS;TK5A.03 TE/QE30 CO2-PITOISUUS;TK5A.03 TE/QE30 CO2-PITOISUUS;TK5A.04 TE/QE30 CO2-PITOISUUS;TK5A.04 TE/QE30 CO2-PITOISUUS;
14.10.2022;6:05:00;20,509022;21,214817;20,9531;25,899723;21,128511;20,1347;21,082584;20,666723;20,736504;21,371881;20,384415;21,561626;21,651943;20,82256;21,960274;21,830378;8,608021;1,6963229;1,6132206;76,82946;105,92699;20,543049;20,543049;18,81603;10,517858;69,450226;48,202133;21,358463;21,358463;18,625555;36,16853;43,492134;21,073032;21,073032;18,516369;10,860192;35,324486;57,1096;21,438362;18,778465;0,12675095;4,0692406;1,0609837;2,0591888;363,32288;381,51654;469,14395;488,3394;413,58026;427,29688;488,1492;391,3108;391,3108;524,9373;420,80707;486,7346;524,9373;380,0045;380,0045;358,73346;453,54895;362,41693;364,52667;404,41074;471,66043;439,83856;471,66043;423,16824;423,16824;445,2558;445,2558;
14.10.2022;6:10:00;20,532936;21,181683;20,953522;25,880516;21,15324;20,15866;21,062382;20,668795;20,707293;21,40699;20,389784;21,596882;21,631649;20,835999;21,960472;21,798391;8,604752;1,6881511;1,6008866;76,82965;104,95359;20,589214;20,589214;18,821676;10,555931;70,41127;47,247227;21,29958;21,29958;18,61092;36,16583;42,53232;21,136791;21,136791;18,521767;10,859629;35,328377;56,01492;21,440731;18,749138;-1,883709;3,0601425;0,07072067;2,0594234;363,05096;380,7355;474,48212;487,85284;409,5465;422,86697;487,85284;393,84348;393,84348;524,1803;414,93677;487,15134;524,1803;378,29507;378,29507;358,84238;451,78662;364,67126;364,70428;406,52103;474,4188;437,75793;474,31583;425,7543;425,7543;446,11072;446,11072;
14.10.2022;6:15:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;358,7862;454,32825;364,63004;364,26566;406,56424;468,20435;441,9125;;427,34467;427,34467;;443,57275;
14.10.2022;6:20:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;359,70975;458,4071;362,509;364,27924;404,4554;472,2914;441,9565;;427,653;427,653;;444,6257;
