Päivä;Aika;TK5A.01 TE/QE20.01 HUONELÄMPÖTILA;TK5A.01 TE/QE20.02 HUONELÄMPÖTILA;TK5A.01 TE/QE20.03 HUONELÄMPÖTILA;TK5A.01 TE/QE20.04 HUONELÄMPÖTILA;TK5A.01 TE/QE20.05 HUONELÄMPÖTILA;TK5A.01 TE/QE20.06 HUONELÄMPÖTILA;TK5A.02 TE/QE20.01 HUONELÄMPÖTILA;TK5A.02 TE/QE20.02 HUONELÄMPÖTILA;TK5A.02 TE/QE20.03 HUONELÄMPÖTILA;TK5A.03 TE/QE20.01 HUONELÄMPÖTILA;TK5A.03 TE/QE20.02 HUONELÄMPÖTILA;TK5A.03 TE/QE20.03 HUONELÄMPÖTILA;TK5A.03 TE/QE20.04 HUONELÄMPÖTILA;TK5A.03 TE/QE20.05 HUONELÄMPÖTILA;TK5A.03 TE/QE20.06 HUONELÄMPÖTILA;TK5A.03 TE/QE20.07 HUONELÄMPÖTILA;ULKOLÄMPÖTILA;TK5A.01 FTI70 ILMAMÄÄRÄ TF01;TK5A.01 FTI71 ILMAMÄÄRÄ PF01;TK5A.01 PE10 TULOILMA;TK5A.01 PE30 POISTOILMA;TK5A.01 TE/QE30 POISTOILMA;TK5A.01 TE/QE30 POISTOILMA;TK5A.01 TE10 TULOILMA;TK5A.01 TE31 JÄTEILMA;TK5A.02 PE10 TULOILMA;TK5A.02 PE30 POISTOILMA;TK5A.02 TE/QE30 POISTOILMA;TK5A.02 TE/QE30 POISTOILMA;TK5A.02 TE10 TULOILMA;TK5A.03 PE10 TULOILMA;TK5A.03 PE30 POISTOILMA;TK5A.03 TE/QE30 POISTOILMA;TK5A.03 TE/QE30 POISTOILMA;TK5A.03 TE10 TULOILMA;TK5A.03 TE31 JÄTEILMA;TK5A.04 PE10 TULOILMA;TK5A.04 PE30 POISTOILMA;TK5A.04 TE/QE30 POISTOILMA;TK5A.04 TE10 TULOILMA;TK5A.01 PDE20 PAINE-ERO VAIPAN YLI;TK5A.02 PDE20 PAINE-ERO VAIPAN YLI;TK5A.03 PDE20 PAINE-ERO VAIPAN YLI;TK5A.04 PDE20 PAINE-ERO VAIPAN YLI;TK5A.01 TE/QE20.01 CO2-PITOISUUS;TK5A.01 TE/QE20.02 CO2-PITOISUUS;TK5A.01 TE/QE20.03 CO2-PITOISUUS;TK5A.01 TE/QE20.04 CO2-PITOISUUS;TK5A.01 TE/QE20.05 CO2-PITOISUUS;TK5A.01 TE/QE20.06 CO2-PITOISUUS;TK5A.01 TE/QE30 CO2-PITOISUUS;TK5A.01 TE/QE30 CO2-PITOISUUS;TK5A.01 TE/QE30 CO2-PITOISUUS;TK5A.02 TE/QE20.01 CO2-PITOISUUS;TK5A.02 TE/QE20.02 CO2-PITOISUUS;TK5A.02 TE/QE20.03 CO2-PITOISUUS;TK5A.02 TE/QE30 CO2-PITOISUUS;TK5A.02 TE/QE30 CO2-PITOISUUS;TK5A.02 TE/QE30 CO2-PITOISUUS;TK5A.03 TE/QE20.01 CO2-PITOISUUS;TK5A.03 TE/QE20.02 CO2-PITOISUUS;TK5A.03 TE/QE20.03 CO2-PITOISUUS;TK5A.03 TE/QE20.04 CO2-PITOISUUS;TK5A.03 TE/QE20.05 CO2-PITOISUUS;TK5A.03 TE/QE20.06 CO2-PITOISUUS;TK5A.03 TE/QE20.07 CO2-PITOISUUS;TK5A.03 TE/QE30 CO2-PITOISUUS;TK5A.03 TE/QE30 CO2-PITOISUUS;TK5A.03 TE/QE30 CO2-PITOISUUS;TK5A.04 TE/QE30 CO2-PITOISUUS;TK5A.04 TE/QE30 CO2-PITOISUUS;
14.10.2022;18:50:00;20,482872;21,187695;20,981453;25,892279;21,233063;20,070887;20,998888;20,750435;20,691938;21,1463;20,515179;21,710665;21,650068;20,805666;21,987019;21,825006;9,119699;1,7141489;1,6379938;77,7888;110,035385;20,602816;20,602816;18,77692;10,515879;71,94388;50,267185;21,259838;21,259838;18,386053;37,266315;42,533604;21,130255;21,130255;18,528337;10,885429;34,231873;56,011944;21,480654;18,8652;0,12789726;3,0601997;0,07115936;1,0560188;363,31168;379,67557;482,52295;498,19174;419,81973;427,44952;498,19174;396,25293;396,25293;532,7647;414,95224;484,31787;532,7647;388,52484;388,52484;361,06442;467,3205;362,58145;366,9873;407,2668;477,32544;447,8552;477,32544;431,58783;431,58783;451,46567;451,46567;
14.10.2022;18:55:00;20,497143;21,187046;21,032883;25,880268;21,24324;20,136913;21,006298;20,74586;20,67303;21,049755;20,51252;21,685085;21,712227;20,805775;21,985065;21,862448;8,990204;1,7031566;1,6160259;77,61473;104,95497;20,589367;20,589367;18,792149;10,51475;73,44969;50,26468;21,25947;21,25947;18,386307;36,162502;43,49273;21,13098;21,13098;18,530432;10,883672;34,234245;57,108315;21,53732;18,861235;-0,8795128;2,058216;0,06788254;0,06585121;365,99484;382,0106;480,12244;482,85236;416,6616;423,89407;482,18597;398,77795;398,77795;531,4583;418,85428;481,69223;531,4583;387,40274;387,40274;358,79425;470,36707;362,43103;367,02945;409,32455;475,73566;447,22638;475,73566;436,2845;436,2845;445,84122;445,84122;
14.10.2022;19:00:00;20,513954;21,189985;20,96554;25,880373;21,229132;20,111387;21,001749;20,741581;20,673811;21,062748;20,497381;21,716053;21,657162;20,848015;21,986015;21,858463;8,991146;1,6881207;1,5954088;76,834015;;20,564672;20,564672;18,790709;10,520892;73,45497;49,1714;21,32369;21,32369;18,387821;35,208088;43,495823;21,119884;21,119884;18,524967;10,863132;35,327156;55,04555;21,529272;18,86167;-0,8793335;3,0600567;-0,93595123;1,0563545;363,2511;377,26367;475,72137;479,1175;419,3604;421,5448;479,1175;398,27527;398,27527;523,3779;416,41132;488,71036;523,3779;387,41974;387,41974;358,77158;468,57874;363,91348;364,54996;402,2646;474,69476;446,51166;474,69476;432,71603;432,71603;445,51688;445,51688;
