Päivä;Aika;KK01 TE20 HUONELÄMPÖTILA;KK03 TE20 HUONELÄMPÖTILA;TK5A.05 TE/QE20.01 HUONELÄMPÖTILA;TK5A.05 TE/QE20.02 HUONELÄMPÖTILA;ULKOLÄMPÖTILA;TK5A.05 PE10 TULOILMA;TK5A.05 PE30 POISTOILMA;TK5A.05 TE/QE30 POISTOILMA;TK5A.05 TE/QE30 POISTOILMA;TK5A.05 TE10 TULOILMA;TK5A.06 PE10 TULOILMA;TK5A.06 PE30 POISTOILMA;TK5A.06 TE10 TULOILMA;TK5A.06 TE30 POISTOILMA;TK5A.05 PDE20 PAINE-ERO VAIPAN YLI;TK5A.06 PDE20 PAINE-ERO VAIPAN YLI;TK5A.05 TE/QE20.01 CO2-PITOISUUS;TK5A.05 TE/QE20.02 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;
14.10.2022;15:05:00;20,443882;22,864084;22,261646;21,105368;9,272064;42,92177;83,7381;21,229181;21,229181;19,943367;104,996025;196,98181;19,373156;20,20587;-0,92188644;5,1396294;367,24277;477,7498;477,7498;445,80255;445,80255;
14.10.2022;15:10:00;20,515589;22,902647;22,240463;21,087626;9,350126;43,888187;84,69368;21,197214;21,197214;19,90244;104,99562;202,03337;19,363909;20,20475;0,07233429;8,13765;370,0826;477,79416;477,79416;452,36044;452,36044;
14.10.2022;15:15:00;20,590857;22,989775;22,261248;21,149433;9,286987;42,9191;83,73519;21,19218;21,19218;19,893784;106,14293;202,02994;19,396507;20,201336;2,0761337;7,133602;374,5877;475,8152;475,8152;446,74054;446,74054;
14.10.2022;15:20:00;20,670202;23,116907;22,218983;21,075409;9,272179;41,96181;84,71098;21,164806;21,164806;19,915033;104,99185;202,03278;19,412733;20,193577;1,0749321;8,138222;375,57663;470,6911;470,6911;451,78528;451,78528;
