Päivä;Aika;TK5A.01 TE/QE20.01 HUONELÄMPÖTILA;TK5A.01 TE/QE20.02 HUONELÄMPÖTILA;TK5A.01 TE/QE20.03 HUONELÄMPÖTILA;TK5A.01 TE/QE20.04 HUONELÄMPÖTILA;TK5A.01 TE/QE20.05 HUONELÄMPÖTILA;TK5A.01 TE/QE20.06 HUONELÄMPÖTILA;TK5A.02 TE/QE20.01 HUONELÄMPÖTILA;TK5A.02 TE/QE20.02 HUONELÄMPÖTILA;TK5A.02 TE/QE20.03 HUONELÄMPÖTILA;TK5A.03 TE/QE20.01 HUONELÄMPÖTILA;TK5A.03 TE/QE20.02 HUONELÄMPÖTILA;TK5A.03 TE/QE20.03 HUONELÄMPÖTILA;TK5A.03 TE/QE20.04 HUONELÄMPÖTILA;TK5A.03 TE/QE20.05 HUONELÄMPÖTILA;TK5A.03 TE/QE20.06 HUONELÄMPÖTILA;TK5A.03 TE/QE20.07 HUONELÄMPÖTILA;ULKOLÄMPÖTILA;TK5A.01 FTI70 ILMAMÄÄRÄ TF01;TK5A.01 FTI71 ILMAMÄÄRÄ PF01;TK5A.01 PE10 TULOILMA;TK5A.01 PE30 POISTOILMA;TK5A.01 TE/QE30 POISTOILMA;TK5A.01 TE/QE30 POISTOILMA;TK5A.01 TE10 TULOILMA;TK5A.01 TE31 JÄTEILMA;TK5A.02 PE10 TULOILMA;TK5A.02 PE30 POISTOILMA;TK5A.02 TE/QE30 POISTOILMA;TK5A.02 TE/QE30 POISTOILMA;TK5A.02 TE10 TULOILMA;TK5A.03 PE10 TULOILMA;TK5A.03 PE30 POISTOILMA;TK5A.03 TE/QE30 POISTOILMA;TK5A.03 TE/QE30 POISTOILMA;TK5A.03 TE10 TULOILMA;TK5A.03 TE31 JÄTEILMA;TK5A.04 PE10 TULOILMA;TK5A.04 PE30 POISTOILMA;TK5A.04 TE/QE30 POISTOILMA;TK5A.04 TE10 TULOILMA;TK5A.01 PDE20 PAINE-ERO VAIPAN YLI;TK5A.02 PDE20 PAINE-ERO VAIPAN YLI;TK5A.03 PDE20 PAINE-ERO VAIPAN YLI;TK5A.04 PDE20 PAINE-ERO VAIPAN YLI;TK5A.01 TE/QE20.01 CO2-PITOISUUS;TK5A.01 TE/QE20.02 CO2-PITOISUUS;TK5A.01 TE/QE20.03 CO2-PITOISUUS;TK5A.01 TE/QE20.04 CO2-PITOISUUS;TK5A.01 TE/QE20.05 CO2-PITOISUUS;TK5A.01 TE/QE20.06 CO2-PITOISUUS;TK5A.01 TE/QE30 CO2-PITOISUUS;TK5A.01 TE/QE30 CO2-PITOISUUS;TK5A.01 TE/QE30 CO2-PITOISUUS;TK5A.02 TE/QE20.01 CO2-PITOISUUS;TK5A.02 TE/QE20.02 CO2-PITOISUUS;TK5A.02 TE/QE20.03 CO2-PITOISUUS;TK5A.02 TE/QE30 CO2-PITOISUUS;TK5A.02 TE/QE30 CO2-PITOISUUS;TK5A.02 TE/QE30 CO2-PITOISUUS;TK5A.03 TE/QE20.01 CO2-PITOISUUS;TK5A.03 TE/QE20.02 CO2-PITOISUUS;TK5A.03 TE/QE20.03 CO2-PITOISUUS;TK5A.03 TE/QE20.04 CO2-PITOISUUS;TK5A.03 TE/QE20.05 CO2-PITOISUUS;TK5A.03 TE/QE20.06 CO2-PITOISUUS;TK5A.03 TE/QE20.07 CO2-PITOISUUS;TK5A.03 TE/QE30 CO2-PITOISUUS;TK5A.03 TE/QE30 CO2-PITOISUUS;TK5A.03 TE/QE30 CO2-PITOISUUS;TK5A.04 TE/QE30 CO2-PITOISUUS;TK5A.04 TE/QE30 CO2-PITOISUUS;
14.10.2022;14:30:00;21,274921;21,248873;20,978354;25,873745;21,766844;19,886763;21,286419;21,49253;20,756897;21,34814;20,54132;22,354795;21,595343;20,65831;22,136108;22,329447;9,361095;1,8263509;1,7380778;90,83842;120,975494;20,74438;20,74438;18,902954;10,88792;82,51037;59,189236;21,424017;21,424017;18,602423;88,27202;106,35587;21,276815;21,276815;18,302465;10,906093;35,325275;56,009544;21,517284;18,809233;-1,8840637;3,0604458;-0,93470764;2,0595188;391,08466;383,85095;476,78818;515,9133;475,12512;423,92435;516,1014;407,94052;407,94052;550,89795;546,51056;530,5589;550,89795;387,4361;387,4361;359,0719;465,91736;381,3425;364,53693;405,85413;585,1582;665,45197;665,2295;429,9437;429,9437;451,5458;451,5458;
14.10.2022;14:35:00;21,230421;21,242273;21,0081;25,876259;21,649664;19,906525;21,293022;21,564877;20,783167;21,367249;20,508888;22,31183;21,570501;20,697916;22,098366;22,28959;9,3660965;1,7785156;1,6927865;86,84959;115,91297;20,765202;20,765202;18,930075;10,902201;80,451164;58,22916;21,45964;21,45964;18,60764;74,30059;93,68271;21,216314;21,216314;18,43806;10,937327;34,236687;57,10656;21,54327;18,851768;-1,8837757;4,069603;0,0712471;2,0596905;365,0779;381,25186;479,9001;501,58163;465,2058;427,46283;501,58163;408,44217;408,44217;547,18616;553,4049;529,508;553,4049;390,67093;390,67093;358,78015;459,95804;377,43686;364,50757;411,44904;563,13055;614,71124;614,58923;430,22314;430,22314;453,5209;453,5209;
14.10.2022;14:40:00;21,231754;21,241873;20,99841;25,889587;21,621103;19,910936;21,285334;21,48198;20,736507;21,331665;20,58332;22,26117;21,570213;20,655508;22,084538;22,239285;9,368462;1,7538668;1,6846073;83,82993;113,994995;20,74343;20,74343;18,94191;10,893681;79,48801;55,21161;21,451344;21,451344;18,543798;71,27662;79,424835;21,207691;21,207691;18,500387;10,960052;35,32788;57,109695;21,567429;18,866388;-0,8797436;3,0600758;0,07168007;1,0562782;364,54523;378,26352;476,40146;497,74918;451,48892;426,8877;497,74918;408,48016;408,48016;543,2874;542,57184;524,45374;543,2874;387,99734;387,99734;359,09393;463,8764;376,71503;364,53177;407,3996;547,0723;593,09973;593,6668;429,0935;429,0935;452,47534;452,47534;
