Päivä;Aika;KK01 TE20 HUONELÄMPÖTILA;KK03 TE20 HUONELÄMPÖTILA;TK5A.05 TE/QE20.01 HUONELÄMPÖTILA;TK5A.05 TE/QE20.02 HUONELÄMPÖTILA;ULKOLÄMPÖTILA;TK5A.05 PE10 TULOILMA;TK5A.05 PE30 POISTOILMA;TK5A.05 TE/QE30 POISTOILMA;TK5A.05 TE/QE30 POISTOILMA;TK5A.05 TE10 TULOILMA;TK5A.06 PE10 TULOILMA;TK5A.06 PE30 POISTOILMA;TK5A.06 TE10 TULOILMA;TK5A.06 TE30 POISTOILMA;TK5A.05 PDE20 PAINE-ERO VAIPAN YLI;TK5A.06 PDE20 PAINE-ERO VAIPAN YLI;TK5A.05 TE/QE20.01 CO2-PITOISUUS;TK5A.05 TE/QE20.02 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;
14.10.2022;9:20:00;20,486343;22,10926;22,217638;20,878258;8,721781;42,918972;84,697365;21,012962;21,012962;20,26087;107,10015;196,49551;19,382484;20,226892;1,0747757;5,1395016;400,30002;471,35434;471,21;452,67014;452,67014;
14.10.2022;9:25:00;20,515724;22,0904;22,21242;20,88998;8,725277;42,84382;82,58311;21,026402;21,026402;20,277023;107,095505;197,82245;19,427153;20,222075;0,07169914;4,1392937;401,88174;473,46115;473,74658;452,19153;452,19153;
14.10.2022;9:30:00;20,57358;22,152605;22,212793;20,906227;8,733451;40,856518;82,78071;21,063534;21,063534;20,29092;106,143524;199,03418;19,437551;20,215487;0,07203102;5,1389465;402,86832;474,46927;476,9197;443,70905;443,70905;
