Päivä;Aika;KK01 TE20 HUONELÄMPÖTILA;KK03 TE20 HUONELÄMPÖTILA;TK5A.05 TE/QE20.01 HUONELÄMPÖTILA;TK5A.05 TE/QE20.02 HUONELÄMPÖTILA;ULKOLÄMPÖTILA;TK5A.05 PE10 TULOILMA;TK5A.05 PE30 POISTOILMA;TK5A.05 TE/QE30 POISTOILMA;TK5A.05 TE/QE30 POISTOILMA;TK5A.05 TE10 TULOILMA;TK5A.06 PE10 TULOILMA;TK5A.06 PE30 POISTOILMA;TK5A.06 TE10 TULOILMA;TK5A.06 TE30 POISTOILMA;TK5A.05 PDE20 PAINE-ERO VAIPAN YLI;TK5A.06 PDE20 PAINE-ERO VAIPAN YLI;TK5A.05 TE/QE20.01 CO2-PITOISUUS;TK5A.05 TE/QE20.02 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;
14.10.2022;6:45:00;22,437944;22,125225;21,833218;20,596323;8,612423;41,958084;85,65433;20,74136;20,74136;18,890676;72,13449;162,00266;18,73222;20,147697;2,0760326;8,129547;363,0389;471,93475;471,93475;430,22104;430,22104;
14.10.2022;6:50:00;22,434093;22,126755;21,833172;20,61609;8,615303;42,922066;84,69842;20,76437;20,76437;18,870333;87,99364;185,01572;18,685799;20,168293;2,07576;4,138935;363,02048;471,9532;471,9532;430,0334;430,0334;
14.10.2022;6:55:00;22,431288;22,131586;21,833174;20,650862;8,606224;41,961315;84,699936;20,768559;20,768559;18,952335;49,097054;84,169426;19,374535;20,15248;1,0746117;3,1346607;365,27606;478,2568;478,2568;428,1997;428,1997;
14.10.2022;7:00:00;22,434614;22,131208;21,832561;20,664333;8,647121;42,918144;83,73371;20,75651;20,75651;19,055439;40,016945;70,212234;19,834457;20,131035;0,07145119;3,135538;368,57443;479,78763;479,78763;433,69058;433,69058;
