Päivä;Aika;KK01 TE20 HUONELÄMPÖTILA;KK03 TE20 HUONELÄMPÖTILA;TK5A.05 TE/QE20.01 HUONELÄMPÖTILA;TK5A.05 TE/QE20.02 HUONELÄMPÖTILA;ULKOLÄMPÖTILA;TK5A.05 PE10 TULOILMA;TK5A.05 PE30 POISTOILMA;TK5A.05 TE/QE30 POISTOILMA;TK5A.05 TE/QE30 POISTOILMA;TK5A.05 TE10 TULOILMA;TK5A.06 PE10 TULOILMA;TK5A.06 PE30 POISTOILMA;TK5A.06 TE10 TULOILMA;TK5A.06 TE30 POISTOILMA;TK5A.05 PDE20 PAINE-ERO VAIPAN YLI;TK5A.06 PDE20 PAINE-ERO VAIPAN YLI;TK5A.05 TE/QE20.01 CO2-PITOISUUS;TK5A.05 TE/QE20.02 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;
14.10.2022;3:50:00;22,373966;22,137028;21,889809;20,63803;8,6074295;41,957756;83,7379;20,716475;20,716475;18,892878;31,016228;55,115627;19,719042;20,070684;0,07173157;4,1391563;363,21515;478,01074;478,11722;427,1025;427,1025;
14.10.2022;3:55:00;22,37729;22,137354;21,888487;20,643652;8,644601;42,9222;82,77744;20,767872;20,767872;18,889515;29,920874;56,21534;19,686457;20,070322;0,07190323;5,138527;364,32977;476,20248;476,73608;429,41443;429,41443;
14.10.2022;4:00:00;22,377785;22,13664;21,857162;20,644146;8,60614;41,96115;83,73269;20,753025;20,753025;18,889605;28,964802;56,220417;19,683523;20,066824;0,07130432;5,137558;363,043;475,18796;475,18796;431,43057;431,43057;
