Päivä;Aika;KK01 TE20 HUONELÄMPÖTILA;KK03 TE20 HUONELÄMPÖTILA;TK5A.05 TE/QE20.01 HUONELÄMPÖTILA;TK5A.05 TE/QE20.02 HUONELÄMPÖTILA;ULKOLÄMPÖTILA;TK5A.05 PE10 TULOILMA;TK5A.05 PE30 POISTOILMA;TK5A.05 TE/QE30 POISTOILMA;TK5A.05 TE/QE30 POISTOILMA;TK5A.05 TE10 TULOILMA;TK5A.06 PE10 TULOILMA;TK5A.06 PE30 POISTOILMA;TK5A.06 TE10 TULOILMA;TK5A.06 TE30 POISTOILMA;TK5A.05 PDE20 PAINE-ERO VAIPAN YLI;TK5A.06 PDE20 PAINE-ERO VAIPAN YLI;TK5A.05 TE/QE20.01 CO2-PITOISUUS;TK5A.05 TE/QE20.02 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;
14.10.2022;10:45:00;20,505495;20,665934;22,261667;21,26442;8,910213;63,982044;150,63556;21,342518;21,342518;20,183702;101,012634;203,95444;19,434082;20,328981;4,073885;7,133377;386,22058;660,8528;660,8528;547,0892;547,0892;
14.10.2022;10:50:00;20,582712;20,627617;22,261488;21,365593;8,920162;94,910904;223,62848;21,431774;21,431774;20,156988;104,03283;196,97464;19,439598;20,331789;2,0763512;4,1392365;382,26913;802,124;802,01056;598,99457;598,99457;
14.10.2022;10:55:00;20,618135;20,503416;22,261446;21,48259;8,928514;123,92084;293,6187;21,507343;21,507343;20,071058;107,102295;199,99452;19,379112;20,330492;5,0759525;8,137978;378,1332;915,4261;915,97986;594,219;594,219;
14.10.2022;11:00:00;20,53533;20,427282;22,266054;21,635141;8,935666;136,85318;306,648;21,595707;21,595707;20,005789;107,101204;200,95883;19,259138;20,331453;2,0755043;6,129307;382,2387;910,16693;912,46234;585,95496;585,95496;
