Päivä;Aika;TK5A.01 TE/QE20.01 HUONELÄMPÖTILA;TK5A.01 TE/QE20.02 HUONELÄMPÖTILA;TK5A.01 TE/QE20.03 HUONELÄMPÖTILA;TK5A.01 TE/QE20.04 HUONELÄMPÖTILA;TK5A.01 TE/QE20.05 HUONELÄMPÖTILA;TK5A.01 TE/QE20.06 HUONELÄMPÖTILA;TK5A.02 TE/QE20.01 HUONELÄMPÖTILA;TK5A.02 TE/QE20.02 HUONELÄMPÖTILA;TK5A.02 TE/QE20.03 HUONELÄMPÖTILA;TK5A.03 TE/QE20.01 HUONELÄMPÖTILA;TK5A.03 TE/QE20.02 HUONELÄMPÖTILA;TK5A.03 TE/QE20.03 HUONELÄMPÖTILA;TK5A.03 TE/QE20.04 HUONELÄMPÖTILA;TK5A.03 TE/QE20.05 HUONELÄMPÖTILA;TK5A.03 TE/QE20.06 HUONELÄMPÖTILA;TK5A.03 TE/QE20.07 HUONELÄMPÖTILA;ULKOLÄMPÖTILA;TK5A.01 FTI70 ILMAMÄÄRÄ TF01;TK5A.01 FTI71 ILMAMÄÄRÄ PF01;TK5A.01 PE10 TULOILMA;TK5A.01 PE30 POISTOILMA;TK5A.01 TE/QE30 POISTOILMA;TK5A.01 TE/QE30 POISTOILMA;TK5A.01 TE10 TULOILMA;TK5A.01 TE31 JÄTEILMA;TK5A.02 PE10 TULOILMA;TK5A.02 PE30 POISTOILMA;TK5A.02 TE/QE30 POISTOILMA;TK5A.02 TE/QE30 POISTOILMA;TK5A.02 TE10 TULOILMA;TK5A.03 PE10 TULOILMA;TK5A.03 PE30 POISTOILMA;TK5A.03 TE/QE30 POISTOILMA;TK5A.03 TE/QE30 POISTOILMA;TK5A.03 TE10 TULOILMA;TK5A.03 TE31 JÄTEILMA;TK5A.04 PE10 TULOILMA;TK5A.04 PE30 POISTOILMA;TK5A.04 TE/QE30 POISTOILMA;TK5A.04 TE10 TULOILMA;TK5A.01 PDE20 PAINE-ERO VAIPAN YLI;TK5A.02 PDE20 PAINE-ERO VAIPAN YLI;TK5A.03 PDE20 PAINE-ERO VAIPAN YLI;TK5A.04 PDE20 PAINE-ERO VAIPAN YLI;TK5A.01 TE/QE20.01 CO2-PITOISUUS;TK5A.01 TE/QE20.02 CO2-PITOISUUS;TK5A.01 TE/QE20.03 CO2-PITOISUUS;TK5A.01 TE/QE20.04 CO2-PITOISUUS;TK5A.01 TE/QE20.05 CO2-PITOISUUS;TK5A.01 TE/QE20.06 CO2-PITOISUUS;TK5A.01 TE/QE30 CO2-PITOISUUS;TK5A.01 TE/QE30 CO2-PITOISUUS;TK5A.01 TE/QE30 CO2-PITOISUUS;TK5A.02 TE/QE20.01 CO2-PITOISUUS;TK5A.02 TE/QE20.02 CO2-PITOISUUS;TK5A.02 TE/QE20.03 CO2-PITOISUUS;TK5A.02 TE/QE30 CO2-PITOISUUS;TK5A.02 TE/QE30 CO2-PITOISUUS;TK5A.02 TE/QE30 CO2-PITOISUUS;TK5A.03 TE/QE20.01 CO2-PITOISUUS;TK5A.03 TE/QE20.02 CO2-PITOISUUS;TK5A.03 TE/QE20.03 CO2-PITOISUUS;TK5A.03 TE/QE20.04 CO2-PITOISUUS;TK5A.03 TE/QE20.05 CO2-PITOISUUS;TK5A.03 TE/QE20.06 CO2-PITOISUUS;TK5A.03 TE/QE20.07 CO2-PITOISUUS;TK5A.03 TE/QE30 CO2-PITOISUUS;TK5A.03 TE/QE30 CO2-PITOISUUS;TK5A.03 TE/QE30 CO2-PITOISUUS;TK5A.04 TE/QE30 CO2-PITOISUUS;TK5A.04 TE/QE30 CO2-PITOISUUS;
14.10.2022;6:55:00;20,533195;21,224136;20,928741;25,890991;21,29755;20,212112;21,025373;20,6431;20,693089;21,38961;20,404633;21,548365;21,62413;20,832611;21,921413;21,799885;8,606224;1,6826603;1,5981687;75,86462;105,9266;20,563435;20,563435;18,811808;10,509283;72,49399;47,245678;21,2479;21,2479;18,551346;36,165665;42,533703;21,124607;21,124607;18,509823;10,830525;35,328476;57,10782;21,463358;18,815796;-0,8791771;3,060585;0,070926666;2,0598679;363,18936;380,19388;469,69427;490,71072;410,4615;430,43906;490,71072;398,29587;398,29587;526,7323;413,43503;487,6676;526,7323;383,0879;383,0879;361,8618;456,11545;362,37625;364,26657;404,86414;480,3772;438,45554;480,3772;423,24734;423,24734;448,96606;448,96606;
14.10.2022;7:00:00;20,506474;21,175402;20,954266;25,880526;21,380238;20,146763;21,100395;20,665428;20,704166;21,461828;20,38558;21,540283;21,619045;20,873272;21,93716;21,798634;8,647121;1,696258;1,6077725;77,795334;103,99446;20,592884;20,592884;18,813019;10,512505;73,45068;48,202984;21,288292;21,288292;18,569572;36,163918;42,533897;21,112564;21,112564;18,50813;10,815583;35,324516;57,104618;21,465267;18,82465;-1,8848495;2,0579052;0,07112312;2,0592804;363,33658;384,53723;471,4552;486,98453;424,39847;425,89465;486,98453;394,62045;394,62045;531,33966;407,2749;489,2191;531,33966;384,5145;384,5145;360,34454;453,35547;362,44803;364,28763;405,13278;477,34518;438,27463;478,41812;424,28613;424,28613;449,5508;449,5508;
14.10.2022;7:05:00;20,503479;21,155293;20,966751;25,875597;21,294336;20,136387;21,023607;20,643238;20,672762;21,380093;20,386223;21,541224;21,624659;20,794758;21,937496;21,801899;8,655733;1,705871;1,6228341;76,85224;107,98514;20,554054;20,554054;18,80383;10,50251;70,477066;47,70567;21,247593;21,247593;18,5282;37,26783;42,53024;21,072569;21,072569;18,503748;10,842257;34,229958;55,044792;21,455385;18,820498;0,12733841;5,072464;0,070798874;2,059517;366,0509;384,29654;476,4517;499,7644;428,8939;426,97815;499,7644;399,89532;399,89532;520,64136;403,14108;490,724;520,64136;383,9766;383,9766;360,88788;457,67422;362,59293;364,27356;400,37408;477,34613;436,4737;477,7928;430,79132;430,79132;444,03177;444,03177;
14.10.2022;7:10:00;20,540215;21,181553;20,992174;25,880913;21,239794;20,088556;21,005508;20,615482;20,691557;21,40423;20,356846;21,53471;21,692629;20,8069;21,96339;21,801914;8,665652;1,7223198;1,6255709;79,83982;108,93663;20,542141;20,542141;18,812561;10,505133;70,41227;45,194656;21,308178;21,308178;18,504488;36,167477;42,533638;21,12772;21,12772;18,490118;10,8571615;34,230453;56,01159;21,453478;18,810331;-0,8795624;6,0614586;0,07201767;5,054188;363,286;384,32986;470,73553;500,33392;431,41785;427,30203;500,33392;398,37738;398,37738;522,9491;406,96353;489,18103;522,9491;388,60275;388,60275;359,05173;458,44244;362,39075;366,68564;403,78174;478,32996;438,2948;477,75153;427,30795;427,30795;433,8472;433,8472;
