Päivä;Aika;KK01 TE20 HUONELÄMPÖTILA;KK03 TE20 HUONELÄMPÖTILA;TK5A.05 TE/QE20.01 HUONELÄMPÖTILA;TK5A.05 TE/QE20.02 HUONELÄMPÖTILA;ULKOLÄMPÖTILA;TK5A.05 PE10 TULOILMA;TK5A.05 PE30 POISTOILMA;TK5A.05 TE/QE30 POISTOILMA;TK5A.05 TE/QE30 POISTOILMA;TK5A.05 TE10 TULOILMA;TK5A.06 PE10 TULOILMA;TK5A.06 PE30 POISTOILMA;TK5A.06 TE10 TULOILMA;TK5A.06 TE30 POISTOILMA;TK5A.05 PDE20 PAINE-ERO VAIPAN YLI;TK5A.06 PDE20 PAINE-ERO VAIPAN YLI;TK5A.05 TE/QE20.01 CO2-PITOISUUS;TK5A.05 TE/QE20.02 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;
14.10.2022;3:40:00;22,369509;22,147114;21,857985;20,651299;8,608166;42,93749;82,77638;20,754475;20,754475;18,896942;32,937534;57,181187;19,879816;20,077574;0,072057724;5,138933;363,0454;474,79285;474,79285;427,02164;427,02164;
14.10.2022;3:45:00;22,372942;22,14706;21,859854;20,667854;8,635105;41,96148;85,65673;20,756344;20,756344;18,896065;31,59577;57,18481;19,76071;20,069088;1,0749817;5,139292;363,02917;475,4153;475,4153;426,1374;426,1374;
14.10.2022;3:50:00;22,373966;22,137028;21,889809;20,63803;8,6074295;41,957756;83,7379;20,716475;20,716475;18,892878;31,016228;55,115627;19,719042;20,070684;0,07173157;4,1391563;363,21515;478,01074;478,11722;427,1025;427,1025;
