Päivä;Aika;KK01 TE20 HUONELÄMPÖTILA;KK03 TE20 HUONELÄMPÖTILA;TK5A.05 TE/QE20.01 HUONELÄMPÖTILA;TK5A.05 TE/QE20.02 HUONELÄMPÖTILA;ULKOLÄMPÖTILA;TK5A.05 PE10 TULOILMA;TK5A.05 PE30 POISTOILMA;TK5A.05 TE/QE30 POISTOILMA;TK5A.05 TE/QE30 POISTOILMA;TK5A.05 TE10 TULOILMA;TK5A.06 PE10 TULOILMA;TK5A.06 PE30 POISTOILMA;TK5A.06 TE10 TULOILMA;TK5A.06 TE30 POISTOILMA;TK5A.05 PDE20 PAINE-ERO VAIPAN YLI;TK5A.06 PDE20 PAINE-ERO VAIPAN YLI;TK5A.05 TE/QE20.01 CO2-PITOISUUS;TK5A.05 TE/QE20.02 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;
14.10.2022;18:40:00;21,701057;22,779114;22,016026;20,908823;9,07328;41,95835;85,65298;20,978432;20,978432;20,131062;28,966389;56,21798;19,692963;20,09458;0,07152939;4,1393356;363,0988;467,63916;467,63916;434,51816;434,51816;
14.10.2022;18:45:00;21,713268;22,795366;22,070835;20,96771;9,114052;40,8578;86,75192;20,975815;20,975815;20,140554;28,960186;55,11249;19,715748;20,101885;2,0758038;6,129223;365,24826;471,2739;471,2739;437,97015;437,97015;
14.10.2022;18:50:00;21,727625;22,815872;22,034126;20,87866;9,119516;41,981083;85,65651;21,018373;21,018373;20,170687;28,960318;55,115788;19,779678;20,09587;1,0745659;6,1293106;363,09442;473,72327;473,7524;437,82257;437,82257;
