Päivä;Aika;KK01 TE20 HUONELÄMPÖTILA;KK03 TE20 HUONELÄMPÖTILA;TK5A.05 TE/QE20.01 HUONELÄMPÖTILA;TK5A.05 TE/QE20.02 HUONELÄMPÖTILA;ULKOLÄMPÖTILA;TK5A.05 PE10 TULOILMA;TK5A.05 PE30 POISTOILMA;TK5A.05 TE/QE30 POISTOILMA;TK5A.05 TE/QE30 POISTOILMA;TK5A.05 TE10 TULOILMA;TK5A.06 PE10 TULOILMA;TK5A.06 PE30 POISTOILMA;TK5A.06 TE10 TULOILMA;TK5A.06 TE30 POISTOILMA;TK5A.05 PDE20 PAINE-ERO VAIPAN YLI;TK5A.06 PDE20 PAINE-ERO VAIPAN YLI;TK5A.05 TE/QE20.01 CO2-PITOISUUS;TK5A.05 TE/QE20.02 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;
14.10.2022;0:00:00;22,229343;22,17302;21,946325;20,734251;8,515716;43,87949;81,67567;20,705765;20,705765;18,869915;41,11161;68,662834;19,620779;20,147985;0,07126045;4,1393642;364,62473;469,89755;469,139;434,20535;434,20535;
14.10.2022;0:05:00;22,234598;22,172201;21,9252;20,770641;8,508881;42,49843;83,73108;20,77939;20,77939;18,875679;36,998074;64,15962;19,761606;20,127861;0,0720768;4,1388817;363,33945;478,28253;478,28253;432,52582;432,52582;
14.10.2022;0:10:00;22,241781;22,174864;21,925068;20,73695;8,526998;41,962204;84,69651;20,817741;20,817741;18,886677;33,896347;58,137997;19,975962;20,11227;0,07211876;4,1395035;363,42932;477,21286;477,21286;436,53497;436,53497;
