Päivä;Aika;KK01 TE20 HUONELÄMPÖTILA;KK03 TE20 HUONELÄMPÖTILA;TK5A.05 TE/QE20.01 HUONELÄMPÖTILA;TK5A.05 TE/QE20.02 HUONELÄMPÖTILA;ULKOLÄMPÖTILA;TK5A.05 PE10 TULOILMA;TK5A.05 PE30 POISTOILMA;TK5A.05 TE/QE30 POISTOILMA;TK5A.05 TE/QE30 POISTOILMA;TK5A.05 TE10 TULOILMA;TK5A.06 PE10 TULOILMA;TK5A.06 PE30 POISTOILMA;TK5A.06 TE10 TULOILMA;TK5A.06 TE30 POISTOILMA;TK5A.05 PDE20 PAINE-ERO VAIPAN YLI;TK5A.06 PDE20 PAINE-ERO VAIPAN YLI;TK5A.05 TE/QE20.01 CO2-PITOISUUS;TK5A.05 TE/QE20.02 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;
14.10.2022;2:15:00;22,31632;22,153414;21,909258;20,68268;8,607155;42,826687;83,54389;20,753735;20,753735;18,867535;49,062492;84,65769;19,510117;20,139029;0,07155609;5,1396465;363,00546;474,76468;474,76468;433,03882;433,03882;
14.10.2022;2:20:00;22,323824;22,157429;21,909067;20,67046;8,607526;42,917423;83,7351;20,81734;20,81734;18,8932;42,068504;70,20607;19,996546;20,118628;0,07184982;5,139168;363,03366;475,02203;477,33038;434,69275;434,69275;
14.10.2022;2:25:00;22,331167;22,156261;21,887882;20,674915;8,60561;41,95657;85,65081;20,781506;20,781506;18,902735;34,992954;63,20129;20,32266;20,098774;1,0743694;6,129116;363,1987;475,80124;475,80124;434,4402;434,4402;
14.10.2022;2:30:00;22,335802;22,145617;21,883657;20,645369;8,60808;41,95723;82,7755;20,749886;20,749886;18,91215;33,89519;59,1014;20,05961;20,087461;0,071876526;5,139591;363,00522;474,00165;474,00165;425,01727;425,01727;
