Päivä;Aika;LUX00 ULKOVALOISUUS;
3.2.2022;22:25:00;4,227365;
3.2.2022;22:30:00;4,261317;
3.2.2022;22:35:00;4,255804;
3.2.2022;22:40:00;4,271767;
3.2.2022;22:45:00;4,280725;
3.2.2022;22:50:00;4,309644;
3.2.2022;22:55:00;4,278677;
3.2.2022;23:00:00;4,228119;
3.2.2022;23:05:00;4,247313;
3.2.2022;23:10:00;4,221779;
3.2.2022;23:15:00;4,229239;
3.2.2022;23:20:00;4,241582;
3.2.2022;23:25:00;4,224889;
3.2.2022;23:30:00;4,240624;
3.2.2022;23:35:00;4,250285;
3.2.2022;23:40:00;4,265508;
3.2.2022;23:45:00;4,241862;
3.2.2022;23:50:00;4,256399;
3.2.2022;23:55:00;4,231412;
4.2.2022;0:00:00;4,271317;
4.2.2022;0:05:00;4,275736;
4.2.2022;0:10:00;4,244906;
4.2.2022;0:15:00;4,275098;
4.2.2022;0:20:00;4,280298;
4.2.2022;0:25:00;4,30786;
4.2.2022;0:30:00;4,337034;
4.2.2022;0:35:00;4,315845;
4.2.2022;0:40:00;4,280178;
4.2.2022;0:45:00;4,273567;
4.2.2022;0:50:00;4,313385;
4.2.2022;0:55:00;4,255385;
4.2.2022;1:00:00;4,252451;
4.2.2022;1:05:00;4,220443;
4.2.2022;1:10:00;4,269175;
4.2.2022;1:15:00;4,268394;
4.2.2022;1:20:00;4,238564;
4.2.2022;1:25:00;4,214614;
4.2.2022;1:30:00;4,231159;
4.2.2022;1:35:00;4,240728;
4.2.2022;1:40:00;4,248513;
4.2.2022;1:45:00;4,255742;
4.2.2022;1:50:00;4,251922;
4.2.2022;1:55:00;4,274292;
4.2.2022;2:00:00;4,267069;
4.2.2022;2:05:00;4,275249;
4.2.2022;2:10:00;4,287496;
4.2.2022;2:15:00;4,311215;
4.2.2022;2:20:00;4,295846;
4.2.2022;2:25:00;4,279629;
4.2.2022;2:30:00;4,283731;
4.2.2022;2:35:00;4,304537;
4.2.2022;2:40:00;4,359891;
4.2.2022;2:45:00;4,406047;
4.2.2022;2:50:00;4,365266;
4.2.2022;2:55:00;4,37776;
4.2.2022;3:00:00;4,384157;
4.2.2022;3:05:00;4,386996;
4.2.2022;3:10:00;4,417884;
4.2.2022;3:15:00;4,438396;
4.2.2022;3:20:00;4,431806;
4.2.2022;3:25:00;4,420111;
4.2.2022;3:30:00;4,446235;
4.2.2022;3:35:00;4,470334;
4.2.2022;3:40:00;4,459153;
4.2.2022;3:45:00;4,451736;
4.2.2022;3:50:00;4,488784;
4.2.2022;3:55:00;4,491313;
4.2.2022;4:00:00;4,517235;
4.2.2022;4:05:00;4,524822;
4.2.2022;4:10:00;4,556297;
4.2.2022;4:15:00;4,588717;
4.2.2022;4:20:00;4,583871;
4.2.2022;4:25:00;4,559657;
4.2.2022;4:30:00;4,456887;
4.2.2022;4:35:00;4,429462;
4.2.2022;4:40:00;4,47894;
4.2.2022;4:45:00;4,505971;
4.2.2022;4:50:00;4,508813;
4.2.2022;4:55:00;4,481044;
4.2.2022;5:00:00;4,411327;
4.2.2022;5:05:00;4,413472;
4.2.2022;5:10:00;4,432653;
4.2.2022;5:15:00;4,406289;
4.2.2022;5:20:00;4,404468;
4.2.2022;5:25:00;4,408022;
4.2.2022;5:30:00;4,407773;
4.2.2022;5:35:00;4,429607;
4.2.2022;5:40:00;4,42455;
4.2.2022;5:45:00;4,409338;
4.2.2022;5:50:00;4,379622;
4.2.2022;5:55:00;4,376135;
4.2.2022;6:00:00;4,360135;
4.2.2022;6:05:00;4,492661;
4.2.2022;6:10:00;4,520638;
4.2.2022;6:15:00;4,507646;
4.2.2022;6:20:00;4,522405;
4.2.2022;6:25:00;4,494234;
4.2.2022;6:30:00;4,524552;
4.2.2022;6:35:00;4,551933;
4.2.2022;6:40:00;4,55713;
