Päivä;Aika;TK5A.01 TE/QE20.01 HUONELÄMPÖTILA;TK5A.01 TE/QE20.02 HUONELÄMPÖTILA;TK5A.01 TE/QE20.03 HUONELÄMPÖTILA;TK5A.01 TE/QE20.04 HUONELÄMPÖTILA;TK5A.01 TE/QE20.05 HUONELÄMPÖTILA;TK5A.01 TE/QE20.06 HUONELÄMPÖTILA;TK5A.02 TE/QE20.01 HUONELÄMPÖTILA;TK5A.02 TE/QE20.02 HUONELÄMPÖTILA;TK5A.02 TE/QE20.03 HUONELÄMPÖTILA;TK5A.03 TE/QE20.01 HUONELÄMPÖTILA;TK5A.03 TE/QE20.02 HUONELÄMPÖTILA;TK5A.03 TE/QE20.03 HUONELÄMPÖTILA;TK5A.03 TE/QE20.04 HUONELÄMPÖTILA;TK5A.03 TE/QE20.05 HUONELÄMPÖTILA;TK5A.03 TE/QE20.06 HUONELÄMPÖTILA;TK5A.03 TE/QE20.07 HUONELÄMPÖTILA;ULKOLÄMPÖTILA;TK5A.01 FTI70 ILMAMÄÄRÄ TF01;TK5A.01 FTI71 ILMAMÄÄRÄ PF01;TK5A.01 PE10 TULOILMA;TK5A.01 PE30 POISTOILMA;TK5A.01 TE/QE30 POISTOILMA;TK5A.01 TE/QE30 POISTOILMA;TK5A.01 TE10 TULOILMA;TK5A.01 TE31 JÄTEILMA;TK5A.02 PE10 TULOILMA;TK5A.02 PE30 POISTOILMA;TK5A.02 TE/QE30 POISTOILMA;TK5A.02 TE/QE30 POISTOILMA;TK5A.02 TE10 TULOILMA;TK5A.03 PE10 TULOILMA;TK5A.03 PE30 POISTOILMA;TK5A.03 TE/QE30 POISTOILMA;TK5A.03 TE/QE30 POISTOILMA;TK5A.03 TE10 TULOILMA;TK5A.03 TE31 JÄTEILMA;TK5A.04 PE10 TULOILMA;TK5A.04 PE30 POISTOILMA;TK5A.04 TE/QE30 POISTOILMA;TK5A.04 TE10 TULOILMA;TK5A.01 PDE20 PAINE-ERO VAIPAN YLI;TK5A.02 PDE20 PAINE-ERO VAIPAN YLI;TK5A.03 PDE20 PAINE-ERO VAIPAN YLI;TK5A.04 PDE20 PAINE-ERO VAIPAN YLI;TK5A.01 TE/QE20.01 CO2-PITOISUUS;TK5A.01 TE/QE20.02 CO2-PITOISUUS;TK5A.01 TE/QE20.03 CO2-PITOISUUS;TK5A.01 TE/QE20.04 CO2-PITOISUUS;TK5A.01 TE/QE20.05 CO2-PITOISUUS;TK5A.01 TE/QE20.06 CO2-PITOISUUS;TK5A.01 TE/QE30 CO2-PITOISUUS;TK5A.01 TE/QE30 CO2-PITOISUUS;TK5A.01 TE/QE30 CO2-PITOISUUS;TK5A.02 TE/QE20.01 CO2-PITOISUUS;TK5A.02 TE/QE20.02 CO2-PITOISUUS;TK5A.02 TE/QE20.03 CO2-PITOISUUS;TK5A.02 TE/QE30 CO2-PITOISUUS;TK5A.02 TE/QE30 CO2-PITOISUUS;TK5A.02 TE/QE30 CO2-PITOISUUS;TK5A.03 TE/QE20.01 CO2-PITOISUUS;TK5A.03 TE/QE20.02 CO2-PITOISUUS;TK5A.03 TE/QE20.03 CO2-PITOISUUS;TK5A.03 TE/QE20.04 CO2-PITOISUUS;TK5A.03 TE/QE20.05 CO2-PITOISUUS;TK5A.03 TE/QE20.06 CO2-PITOISUUS;TK5A.03 TE/QE20.07 CO2-PITOISUUS;TK5A.03 TE/QE30 CO2-PITOISUUS;TK5A.03 TE/QE30 CO2-PITOISUUS;TK5A.03 TE/QE30 CO2-PITOISUUS;TK5A.04 TE/QE30 CO2-PITOISUUS;TK5A.04 TE/QE30 CO2-PITOISUUS;
14.10.2022;8:25:00;20,571527;21,353077;20,928719;25,874779;21,647919;20,118141;21,006449;20,680744;20,782394;21,528164;20,361063;21,547459;21,602554;20,806875;21,9239;21,801908;8,60704;1,7058339;1,6228518;76,81967;108,92981;20,680542;20,680542;18,883781;10,372469;70,414635;49,174263;21,260359;21,260359;18,537075;36,16692;43,49269;21,074076;21,074076;18,509932;10,698801;34,23141;58,076256;21,48881;18,729809;0,12646866;3,0610294;0,071331024;1,0556221;363,1659;410,10007;479,60492;492,733;418,28723;423,3668;492,9473;391,31384;391,31384;528,99774;425,4858;514,94794;528,99774;379,36533;379,36533;359,34097;467,5227;362,3981;364,29675;400,7883;470,74103;439,41226;470,74103;424,2718;424,2718;446,83237;446,83237;
14.10.2022;8:30:00;20,645636;21,361233;20,90681;25,879278;21,696815;20,084106;21,00142;20,774586;20,739317;21,560658;20,431007;21,561089;21,630861;20,865725;21,924276;21,77652;8,613872;1,7223369;1,6008853;79,844894;105,92073;20,679405;20,679405;18,8757;10,352024;73,451775;49,172947;21,260208;21,260208;18,50658;35,204727;42,534622;21,123951;21,123951;18,50753;10,685272;34,23148;56,012936;21,46041;18,706379;0,12687874;4,0701466;0,0711174;3,0622559;364,39075;402,86932;478,05582;497,73813;423,29584;422,567;497,73813;397,38126;397,38126;532,22577;429,86487;524,69104;532,22577;379,3157;379,3157;359,0769;476,56647;362,39032;364,61356;400,93704;478,43774;439,43454;478,43774;422,6666;422,6666;443,38556;443,38556;
14.10.2022;8:35:00;20,577888;21,470005;20,993864;25,87724;21,71832;20,12484;21,009048;20,712204;20,757273;21,71373;20,383703;21,560902;21,625767;20,831356;21,932974;21,793148;;;;;;;20,766838;;;;;;21,325161;;;;;21,137552;;;;;;;0,1261692;5,0724697;0,07088661;3,062231;363,3139;414,04742;483,47025;499,49774;435,93268;422,30234;;397,01434;397,01434;532,91266;421,00644;589,15234;;380,7236;380,7236;358,79965;473,51886;362,41327;364,34113;401,49884;473,73727;445,47577;;426,30087;426,30087;;445,99222;
14.10.2022;8:40:00;20,597637;21,468657;20,928003;25,887627;21,731565;20,087532;20,999458;20,732304;20,800821;21,63982;20,426294;21,576216;21,628086;20,807148;21,92167;21,773016;;;;;;;20,757494;;;;;;21,322214;;;;;21,1269;;;;;;;-0,8798485;3,0606747;0,06923866;2,0593624;363,01895;432,5697;484,78836;504,0298;434,71436;426,44736;;399,4883;399,4883;528,2032;424,85513;568,0565;;383,0543;383,0543;364,7794;471,58508;362,4446;364,5912;402,81006;478,71942;442,2982;;423,56268;423,56268;;443,47507;
