Päivä;Aika;KK01 TE20 HUONELÄMPÖTILA;KK03 TE20 HUONELÄMPÖTILA;TK5A.05 TE/QE20.01 HUONELÄMPÖTILA;TK5A.05 TE/QE20.02 HUONELÄMPÖTILA;ULKOLÄMPÖTILA;TK5A.05 PE10 TULOILMA;TK5A.05 PE30 POISTOILMA;TK5A.05 TE/QE30 POISTOILMA;TK5A.05 TE/QE30 POISTOILMA;TK5A.05 TE10 TULOILMA;TK5A.06 PE10 TULOILMA;TK5A.06 PE30 POISTOILMA;TK5A.06 TE10 TULOILMA;TK5A.06 TE30 POISTOILMA;TK5A.05 PDE20 PAINE-ERO VAIPAN YLI;TK5A.06 PDE20 PAINE-ERO VAIPAN YLI;TK5A.05 TE/QE20.01 CO2-PITOISUUS;TK5A.05 TE/QE20.02 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;
14.10.2022;16:55:00;21,311745;23,430847;22,110403;20,940588;9,178474;41,9596;84,69961;21,027046;21,027046;20,063408;104,522;196,97543;19,689356;20,144136;1,074501;8,636467;363,01086;470,18134;470,18134;435,51346;435,51346;
14.10.2022;17:00:00;21,29796;23,386778;22,1385;20,942781;9,1778145;41,960625;83,73094;21,077366;21,077366;20,11634;104,99582;195,06082;19,817549;20,144934;2,0757465;8,137852;363,03314;467,7459;467,7459;440,41052;440,41052;
14.10.2022;17:05:00;21,327484;23,306665;22,086145;20,942137;9,177864;41,958218;83,733116;21,070688;21,070688;20,129286;104,030716;196,00882;19,8212;20,155289;1,0743046;7,132736;363,24982;468,121;468,121;438,25842;438,25842;
14.10.2022;17:10:00;21,358755;23,221048;22,110136;21,004007;9,208372;41,589565;85,65407;21,068226;21,068226;20,137093;104,99272;202,74808;19,829405;20,161528;2,0758057;7,1329193;363,06662;473,76996;473,76996;437,63876;437,63876;
