Päivä;Aika;KK01 TE20 HUONELÄMPÖTILA;KK03 TE20 HUONELÄMPÖTILA;TK5A.05 TE/QE20.01 HUONELÄMPÖTILA;TK5A.05 TE/QE20.02 HUONELÄMPÖTILA;ULKOLÄMPÖTILA;TK5A.05 PE10 TULOILMA;TK5A.05 PE30 POISTOILMA;TK5A.05 TE/QE30 POISTOILMA;TK5A.05 TE/QE30 POISTOILMA;TK5A.05 TE10 TULOILMA;TK5A.06 PE10 TULOILMA;TK5A.06 PE30 POISTOILMA;TK5A.06 TE10 TULOILMA;TK5A.06 TE30 POISTOILMA;TK5A.05 PDE20 PAINE-ERO VAIPAN YLI;TK5A.06 PDE20 PAINE-ERO VAIPAN YLI;TK5A.05 TE/QE20.01 CO2-PITOISUUS;TK5A.05 TE/QE20.02 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;
14.10.2022;20:20:00;21,875975;22,943893;22,048416;20,9947;8,991547;41,959534;82,780014;21,06308;21,06308;20,062334;89,09512;178,99586;18,609703;20,498081;2,0759487;9,139046;363,05792;485,97107;485,80527;448,81677;448,81677;
14.10.2022;20:25:00;21,881985;22,95881;22,051853;20,997765;8,989494;42,900288;83,726395;21,078243;21,078243;20,09141;50,976868;87,19421;19,314331;20,502712;0,50409317;5,1629715;363,05475;479,88834;482,336;446,70395;446,70395;
14.10.2022;20:30:00;21,887499;22,945383;22,06348;20,99478;8,995813;40,85938;86,753136;21,057512;21,057512;20,106228;41,11405;70,21134;19,54854;20,465458;1,0744553;5,1397896;365,23865;478,00165;477,74744;441,82697;441,82697;
