Päivä;Aika;KK01 TE20 HUONELÄMPÖTILA;KK03 TE20 HUONELÄMPÖTILA;TK5A.05 TE/QE20.01 HUONELÄMPÖTILA;TK5A.05 TE/QE20.02 HUONELÄMPÖTILA;ULKOLÄMPÖTILA;TK5A.05 PE10 TULOILMA;TK5A.05 PE30 POISTOILMA;TK5A.05 TE/QE30 POISTOILMA;TK5A.05 TE/QE30 POISTOILMA;TK5A.05 TE10 TULOILMA;TK5A.06 PE10 TULOILMA;TK5A.06 PE30 POISTOILMA;TK5A.06 TE10 TULOILMA;TK5A.06 TE30 POISTOILMA;TK5A.05 PDE20 PAINE-ERO VAIPAN YLI;TK5A.06 PDE20 PAINE-ERO VAIPAN YLI;TK5A.05 TE/QE20.01 CO2-PITOISUUS;TK5A.05 TE/QE20.02 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;
14.10.2022;19:25:00;21,78898;22,916325;22,025154;20,87576;8,991318;40,85948;85,65548;21,028954;21,028954;20,1204;36,03808;64,16704;20,10063;20,092438;1,0739517;4,1391106;363,12488;466,9299;469,7279;438,05472;438,05472;
14.10.2022;19:30:00;21,797781;22,905884;22,087353;20,916082;8,999214;40,857506;86,754585;20,991062;20,991062;20,085064;32,93279;61,163788;20,05239;20,087584;2,076044;5,1395493;363,0181;464,6358;464,651;442,27386;442,27386;
14.10.2022;19:35:00;21,805986;22,891466;22,026365;20,966272;8,996254;41,948696;83,78835;20,978264;20,978264;20,056492;31,991825;57,18082;19,841837;20,08293;1,0735397;4,139166;365,296;469,17596;469,37442;450,80423;450,80423;
14.10.2022;19:40:00;21,813122;22,885563;22,038952;21,082031;8,927681;40,857273;85,65357;21,041607;21,041607;20,038538;29,934397;56,216694;19,701136;20,085226;1,0744305;6,1288376;363,46744;492,56186;491,85065;468,15823;468,15823;
