Päivä;Aika;KK01 TE20 HUONELÄMPÖTILA;KK03 TE20 HUONELÄMPÖTILA;TK5A.05 TE/QE20.01 HUONELÄMPÖTILA;TK5A.05 TE/QE20.02 HUONELÄMPÖTILA;ULKOLÄMPÖTILA;TK5A.05 PE10 TULOILMA;TK5A.05 PE30 POISTOILMA;TK5A.05 TE/QE30 POISTOILMA;TK5A.05 TE/QE30 POISTOILMA;TK5A.05 TE10 TULOILMA;TK5A.06 PE10 TULOILMA;TK5A.06 PE30 POISTOILMA;TK5A.06 TE10 TULOILMA;TK5A.06 TE30 POISTOILMA;TK5A.05 PDE20 PAINE-ERO VAIPAN YLI;TK5A.06 PDE20 PAINE-ERO VAIPAN YLI;TK5A.05 TE/QE20.01 CO2-PITOISUUS;TK5A.05 TE/QE20.02 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;
14.10.2022;4:35:00;22,392916;22,133158;21,857136;20,638512;8,605515;43,403564;81,677414;20,704296;20,704296;18,833153;48,101868;83,078156;19,57481;20,141592;0,07121086;4,139139;363,02942;473,21454;473,21454;427,0367;427,0367;
14.10.2022;4:40:00;22,393013;22,125624;21,85841;20,675745;8,607132;42,924637;82,779816;20,742165;20,742165;18,867887;41,10983;68,14658;19,849709;20,12539;0,071502686;4,1385765;363,02826;471,18036;471,18036;424,89328;424,89328;
14.10.2022;4:45:00;22,394726;22,1299;21,86002;20,644323;8,616489;42,920254;82,77682;20,70465;20,70465;18,879099;38,09587;62,101738;20,061918;20,113745;0,072063446;4,138983;362,9945;471,46555;471,46555;424,9971;424,9971;
14.10.2022;4:50:00;22,397724;22,14066;21,911451;20,639164;8,607002;41,958843;86,74763;20,767439;20,767439;18,881563;32,933414;59,10315;20,11645;20,113462;1,074543;5,1391983;363,90854;469,14612;469,14612;425,5405;425,5405;
