Päivä;Aika;TK5A.01 TE/QE20.01 HUONELÄMPÖTILA;TK5A.01 TE/QE20.02 HUONELÄMPÖTILA;TK5A.01 TE/QE20.03 HUONELÄMPÖTILA;TK5A.01 TE/QE20.04 HUONELÄMPÖTILA;TK5A.01 TE/QE20.05 HUONELÄMPÖTILA;TK5A.01 TE/QE20.06 HUONELÄMPÖTILA;TK5A.02 TE/QE20.01 HUONELÄMPÖTILA;TK5A.02 TE/QE20.02 HUONELÄMPÖTILA;TK5A.02 TE/QE20.03 HUONELÄMPÖTILA;TK5A.03 TE/QE20.01 HUONELÄMPÖTILA;TK5A.03 TE/QE20.02 HUONELÄMPÖTILA;TK5A.03 TE/QE20.03 HUONELÄMPÖTILA;TK5A.03 TE/QE20.04 HUONELÄMPÖTILA;TK5A.03 TE/QE20.05 HUONELÄMPÖTILA;TK5A.03 TE/QE20.06 HUONELÄMPÖTILA;TK5A.03 TE/QE20.07 HUONELÄMPÖTILA;ULKOLÄMPÖTILA;TK5A.01 FTI70 ILMAMÄÄRÄ TF01;TK5A.01 FTI71 ILMAMÄÄRÄ PF01;TK5A.01 PE10 TULOILMA;TK5A.01 PE30 POISTOILMA;TK5A.01 TE/QE30 POISTOILMA;TK5A.01 TE/QE30 POISTOILMA;TK5A.01 TE10 TULOILMA;TK5A.01 TE31 JÄTEILMA;TK5A.02 PE10 TULOILMA;TK5A.02 PE30 POISTOILMA;TK5A.02 TE/QE30 POISTOILMA;TK5A.02 TE/QE30 POISTOILMA;TK5A.02 TE10 TULOILMA;TK5A.03 PE10 TULOILMA;TK5A.03 PE30 POISTOILMA;TK5A.03 TE/QE30 POISTOILMA;TK5A.03 TE/QE30 POISTOILMA;TK5A.03 TE10 TULOILMA;TK5A.03 TE31 JÄTEILMA;TK5A.04 PE10 TULOILMA;TK5A.04 PE30 POISTOILMA;TK5A.04 TE/QE30 POISTOILMA;TK5A.04 TE10 TULOILMA;TK5A.01 PDE20 PAINE-ERO VAIPAN YLI;TK5A.02 PDE20 PAINE-ERO VAIPAN YLI;TK5A.03 PDE20 PAINE-ERO VAIPAN YLI;TK5A.04 PDE20 PAINE-ERO VAIPAN YLI;TK5A.01 TE/QE20.01 CO2-PITOISUUS;TK5A.01 TE/QE20.02 CO2-PITOISUUS;TK5A.01 TE/QE20.03 CO2-PITOISUUS;TK5A.01 TE/QE20.04 CO2-PITOISUUS;TK5A.01 TE/QE20.05 CO2-PITOISUUS;TK5A.01 TE/QE20.06 CO2-PITOISUUS;TK5A.01 TE/QE30 CO2-PITOISUUS;TK5A.01 TE/QE30 CO2-PITOISUUS;TK5A.01 TE/QE30 CO2-PITOISUUS;TK5A.02 TE/QE20.01 CO2-PITOISUUS;TK5A.02 TE/QE20.02 CO2-PITOISUUS;TK5A.02 TE/QE20.03 CO2-PITOISUUS;TK5A.02 TE/QE30 CO2-PITOISUUS;TK5A.02 TE/QE30 CO2-PITOISUUS;TK5A.02 TE/QE30 CO2-PITOISUUS;TK5A.03 TE/QE20.01 CO2-PITOISUUS;TK5A.03 TE/QE20.02 CO2-PITOISUUS;TK5A.03 TE/QE20.03 CO2-PITOISUUS;TK5A.03 TE/QE20.04 CO2-PITOISUUS;TK5A.03 TE/QE20.05 CO2-PITOISUUS;TK5A.03 TE/QE20.06 CO2-PITOISUUS;TK5A.03 TE/QE20.07 CO2-PITOISUUS;TK5A.03 TE/QE30 CO2-PITOISUUS;TK5A.03 TE/QE30 CO2-PITOISUUS;TK5A.03 TE/QE30 CO2-PITOISUUS;TK5A.04 TE/QE30 CO2-PITOISUUS;TK5A.04 TE/QE30 CO2-PITOISUUS;
14.10.2022;19:10:00;20,52837;21,204128;20,999212;25,877056;21,253162;20,135838;21,014015;20,756874;20,667727;21,044638;20,497719;21,685495;21,630875;20,83794;21,984806;21,837051;8,988213;1,6962903;1,5926014;76,827354;103,99005;20,580467;20,580467;18,788956;10,517545;71,39467;47,24677;21,247528;21,247528;18,359694;36,168133;43,49269;21,125557;21,125557;18,495626;10,843109;34,808586;56,011124;21,51948;18,859802;0,12747002;4,069935;0,076797485;2,0598183;366,0583;381,7077;471,8111;487,93106;417,2183;429,48187;487,93106;396,40622;396,40622;533,7751;418,29877;483,78;533,7751;386,5089;386,5089;359,206;461,5029;362,38083;364,31213;395,18204;476,74576;437,68915;476,74576;428,37244;428,37244;450,02905;450,02905;
14.10.2022;19:15:00;20,49002;21,193993;21,052906;25,873531;21,23145;20,096195;20,97319;20,743465;20,642906;21,047527;20,507427;21,686714;21,692043;20,836395;22,012693;21,799526;8,9867325;1,6936069;1,6008984;77,79616;103,9971;20,563824;20,563824;18,801983;10,542885;71,39391;47,247257;21,258892;21,258892;18,392069;36,169388;43,49539;21,138945;21,138945;18,499264;10,86112;35,32653;56,01172;21,51603;18,86263;-0,87999725;3,0602932;1,0604572;2,059843;363,2041;382,23462;472,95117;487,0264;418,78723;430,07483;487,0264;397,91904;397,91904;528,1941;418,87082;485,33444;528,1941;390,07312;390,07312;358,9017;467,51572;362,6161;365,93002;399,8903;479,04578;443,7812;479,04578;429,88635;429,88635;448,01532;448,01532;
14.10.2022;19:20:00;20,515392;21,194725;20,996723;25,889572;21,2697;20,107883;21,054686;20,732338;20,638512;21,057793;20,504057;21,685305;21,690678;20,807796;22,039146;21,823605;8,997398;1,690812;1,6147937;76,832924;105,92314;20,566473;20,566473;18,814585;10,540291;71,39022;47,247425;21,275122;21,275122;18,407911;36,16949;43,492954;21,143877;21,143877;18,511845;10,870269;35,321846;56,01159;21,552345;18,846975;-0,87874985;3,0602112;0,07009888;1,0585976;363,2685;377,2675;473,68936;492,4283;420,22787;431,9141;492,4283;395,69696;395,69696;524,6806;419,30847;483,4231;524,6806;392,28238;392,28238;359,16617;467,32153;362,38202;366,57816;404,99927;479,32788;442,501;479,32788;431,87732;431,87732;453,5635;453,5635;
