Päivä;Aika;KK01 TE20 HUONELÄMPÖTILA;KK03 TE20 HUONELÄMPÖTILA;TK5A.05 TE/QE20.01 HUONELÄMPÖTILA;TK5A.05 TE/QE20.02 HUONELÄMPÖTILA;ULKOLÄMPÖTILA;TK5A.05 PE10 TULOILMA;TK5A.05 PE30 POISTOILMA;TK5A.05 TE/QE30 POISTOILMA;TK5A.05 TE/QE30 POISTOILMA;TK5A.05 TE10 TULOILMA;TK5A.06 PE10 TULOILMA;TK5A.06 PE30 POISTOILMA;TK5A.06 TE10 TULOILMA;TK5A.06 TE30 POISTOILMA;TK5A.05 PDE20 PAINE-ERO VAIPAN YLI;TK5A.06 PDE20 PAINE-ERO VAIPAN YLI;TK5A.05 TE/QE20.01 CO2-PITOISUUS;TK5A.05 TE/QE20.02 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;TK5A.05 TE/QE30 CO2-PITOISUUS;
14.10.2022;7:10:00;22,42895;22,13234;21,823154;20,701248;8,665652;42,92233;83,737144;20,806206;20,806206;19,140423;92,10486;186,93707;19,137493;20,152012;0,071640015;3,1350288;363,04645;475,70895;475,6804;435,54147;435,54147;
14.10.2022;7:15:00;22,402304;22,13182;21,82123;20,706758;8,615223;41,95937;84,69624;20,805851;20,805851;19,15835;100,446976;189,90979;19,002483;20,161793;0,07167053;4,1382427;365,63232;473,47482;473,47482;434,6089;434,6089;
14.10.2022;7:20:00;22,36935;22,129908;21,853655;20,730753;8,609398;42,918636;82,77952;20,781954;20,781954;19,170761;104,0315;198,08408;19,28946;20,15657;0,070848465;5,139036;363,23926;475,69504;475,4692;429,95206;429,95206;
